Cdk9as_3MBPP1r2_pr_counts	Cdk9as_3MBPP1r2gb_counts	Cdk9as_3MBPP1r2term_counts	Cdk9as_3MBPP1r2pr_map	Cdk9as_3MBPP1r2gb_map	Cdk9as_3MBPP1r2term_map	Cdk9as_3MBPP1r2pr_density	Cdk9as_3MBPP1r2pr_densityRPKM	Cdk9as_3MBPP1r2gb_density	Cdk9as_3MBPP1r2gb_densityRPKM	Cdk9as_3MBPP1r2pause_index_CI_low	Cdk9as_3MBPP1r2pause_index_CI_high	Cdk9as_3MBPP1r2pause_index_scaled	Cdk9as_3MBPP1r2pause_index_CI_low_scaled	Cdk9as_3MBPP1r2pause_index_CI_high_scaled	Cdk9as_3MBPP1r2_ExpPR	Cdk9as_3MBPP1r2_ExpGB	Cdk9as_3MBPP1r2Fexact_Pval
SPAC664.11	404	9472	605	100	2292	300	4.04	328.156048923193	4.1326352530541	335.680508980924	0.0385592516106824	0.0471735890336164	0.97758445945946	0.883778046916842	1.08121866065049	405	99	1
SPAC664.13	3	63	67	100	310	300	0.03	2.43680234348906	0.203225806451613	16.5073707139581	0.0119540699724486	0.156920667685371	0.147619047619048	0.0370576169145906	0.486454069824649	17	86	1
SPAC664.14	189	2891	75	100	2000	300	1.89	153.518547639811	1.4455	117.413259583781	0.0562676889927923	0.0759290087914806	1.30750605326877	1.12535377985585	1.51858017582961	170	119	1
SPAC664.15	13	1761	27	100	2511	300	0.13	10.5594768217859	0.70131421744325	56.9654709529302	0.00409666524668517	0.0130184594159453	0.185366269165247	0.102867264344265	0.326893515934387	46	67	1
SPAC17A5.01	3	847	21	100	3069	300	0.03	2.43680234348906	0.275985663082437	22.4174170189555	0.00091279237596381	0.0113153293156271	0.108701298701299	0.0280135980183293	0.347267456696596	22	81	1
SPNCRNA.759	7	56	16	100	408	300	0.07	5.6858721348078	0.137254901960784	11.14876889178	0.0521602855654792	0.284695111380505	0.51	0.212813965107155	1.16155605443246	12	95	1
SPAC17A5.03	359	1240	404	100	232	300	3.59	291.604013770857	5.3448275862069	434.142946253798	0.256969374065775	0.326146704100045	0.671677419354839	0.596168947832599	0.756660353512105	386	73	1
SPNCRNA.556	0	2	7	100	649	300	0	0	0.00308166409861325	0.250313543244896	0.0514242900386907	4.05388820080272	0	0.333743642351103	26.3097344232097	0	100	1
SPAC17A5.19	4	70	340	100	673	300	0.04	3.24906979131875	0.104011887072808	8.44854700565796	0.017767560850758	0.162558307793553	0.384571428571429	0.119575684525602	1.09401741145061	9	95	1
SPAC17A5.06	84	2885	171	100	2570	300	0.84	68.2304656176937	1.12256809338521	91.1825520229045	0.0232895577441347	0.0363537321194478	0.748284228769497	0.598541634024261	0.934290915469808	97	87	1
SPAC17A5.08	1	1269	169	100	1048	300	0.01	0.812267447829686	1.21087786259542	98.3556671083847	4.11055365209797e-05	0.00512403540971627	0.00825847123719464	0.000430786022739867	0.0536998910938265	55	46	1
SPAC17A5.10	40	1913	257	100	1675	258	0.4	32.4906979131875	1.14208955223881	92.7682165789964	0.0150834826050169	0.0288719529989939	0.350235232618923	0.252648333634033	0.483605212733149	74	66	1
SPAC17A5.11	2	28	159	100	1078	300	0.02	1.62453489565937	0.025974025974026	2.10978557877841	0.0117687294574852	0.307314068338505	0.77	0.126866903551691	3.31284565668909	2	100	1
SPAC17A5.12	32	982	386	100	1919	300	0.32	25.99255833055	0.511724856696196	41.5657443339631	0.0225268566454333	0.0468806722659684	0.625336048879837	0.432290379025865	0.899640100783934	44	88	1
SPAC17A5.13	140	973	204	100	708	300	1.4	113.717442696156	1.37429378531073	111.629410556255	0.120027209709333	0.172389543365193	1.01870503597122	0.849792644742078	1.22051796702557	138	102	1
SPAC17A5.14	39	2061	29	100	4061	300	0.39	31.6784304653578	0.50751046540261	41.2234230479435	0.0135956050863927	0.026229736702242	0.768457059679767	0.552117522558408	1.06518960747805	46	93	1
SPAC17A5.16	72	1361	61	100	3786	300	0.72	58.4832562437374	0.359482303222398	29.1995772978395	0.0414243366567068	0.0674527984024489	2.00288023512123	1.56832538582292	2.55376294751672	45	127	0.0798067233957568
SPAC1610.01	15	266	8	100	967	300	0.15	12.1840117174453	0.275077559462254	22.3436547179624	0.0322644803336594	0.0969018826514625	0.545300751879699	0.311997524826486	0.937041205239643	24	91	1
SPNCRNA.762	92	1805	26	100	2961	300	0.92	74.7286052003311	0.609591354272205	49.5151213553726	0.0410939049908733	0.0631486889483985	1.50920775623269	1.21679052677976	1.86983267976208	72	120	1
SPAC1610.04	17	745	74	100	1869	300	0.17	13.8085466131047	0.398608881754949	32.3777019065338	0.0136529027178114	0.0375964678629036	0.42648322147651	0.255172751795894	0.702677984357669	33	84	1
SPAC1002.01	55	210	258	100	481	300	0.55	44.6747096306327	0.436590436590437	35.4628199676162	0.192419357508862	0.355753177434819	1.2597619047619	0.925537109617628	1.71117278346148	47	108	1
SPAC1002.02	73	879	111	100	837	300	0.73	59.2955236915671	1.05017921146953	85.3026387864151	0.0649145111220473	0.106086312734439	0.695119453924915	0.543334458091536	0.887942437587256	88	85	1
SPNCRNA.763	6	113	108	100	2281	300	0.06	4.87360468697812	0.0495396755808856	4.02394658503966	0.0210969343363281	0.124960040705445	1.21115044247788	0.481221072211644	2.85033852849119	5	101	1
SPAC1002.11	14	1194	79	100	1871	300	0.14	11.3717442696156	0.638161411010155	51.835774062461	0.00665091095667308	0.0202766450337643	0.219380234505863	0.124438543999353	0.37937602858173	44	70	1
SPAC1002.20	1	12	245	100	548	300	0.01	0.812267447829686	0.0218978102189781	1.77868784196282	0.0040448521341888	0.610617545978525	0.456666666666667	0.0221657896953546	3.34618415196232	2	99	1
SPAC1002.14	17	1080	108	100	1485	300	0.17	13.8085466131047	0.727272727272727	59.0739962057954	0.00943495861494326	0.0258865379472677	0.23375	0.140109135431907	0.384415088516926	49	68	1
SPAC1002.18	8	1268	73	100	1505	300	0.08	6.49813958263749	0.842524916943522	68.4355564018633	0.00292664507854708	0.0130053237872051	0.0949526813880126	0.0440460084321335	0.195730122997436	49	59	1
SPAC1002.19	3	845	53	100	1563	300	0.03	2.43680234348906	0.540626999360205	43.9133712998135	0.000914948196659774	0.0113421784222583	0.055491124260355	0.0143006403137923	0.177278248739898	36	67	1
SPAC1399.05c	46	488	48	100	1609	300	0.46	37.3643026001656	0.303293971410814	24.6355820099992	0.0688196506597765	0.128716618211183	1.51668032786885	1.1073081791158	2.07105038701793	33	113	1
SPAC1399.04c	17	434	86	100	612	300	0.17	13.8085466131047	0.709150326797386	57.6019726075301	0.0233396492680994	0.0648135289152595	0.239723502304147	0.142838653520768	0.396658796961388	48	69	1
SPNCRNA.178	1	77	2	100	837	300	0.01	0.812267447829686	0.0919952210274791	7.47247233965183	0.000670044888437859	0.0859418686347986	0.108701298701299	0.00560827571622488	0.719333440473264	8	93	1
SPAC1399.01c	8	596	14	100	3116	300	0.08	6.49813958263749	0.191270860077022	15.5363093358952	0.00620984037449606	0.0277477974038179	0.418255033557047	0.193498626069297	0.864621367102967	17	91	1
SPAP11E10.01	3	338	14	100	1351	87	0.03	2.43680234348906	0.250185048112509	20.3217170515495	0.00228003506719661	0.0284623982846035	0.11991124260355	0.0308032737578261	0.384527000824993	20	83	1
SPAPB1A10.02	1	391	99	100	2207	300	0.01	0.812267447829686	0.177163570457635	14.3904201224018	0.000133195758516417	0.0166725373837073	0.0564450127877238	0.00293963039045731	0.367962900058421	15	86	1
SPNCRNA.181	1	0	10	100	138	300	0.01	0.812267447829686	0	0	0.0577765545925511	8.27870929775896	NA	0.0797316453377206	11.4246188309074	0	101	1
SPAPB1A10.03	63	191	200	100	234	300	0.63	51.1728492132702	0.816239316239316	66.3004626219958	0.245543092408547	0.442395843259575	0.771832460732984	0.574570836235999	1.0352062732274	73	90	1
SPAPB1A10.16	66	341	129	100	310	300	0.66	53.6096515567593	1.1	89.3494192612655	0.147354508087353	0.253803920928268	0.6	0.456798975070793	0.78679215487763	86	80	1
SPAPB1A10.05	3	1184	60	100	1238	300	0.03	2.43680234348906	0.956381260096931	77.6837365291073	0.000653383783962063	0.00808889411633313	0.0313682432432432	0.00808889124545034	0.100140509160204	50	53	1
SPNCRNA.766	0	148	47	100	1221	300	0	0	0.121212121212121	9.84566603429923	0.00061504741637674	0.032558804521116	0	0.00750972895396	0.397543003202826	10	90	1
SPAPB1A10.08	32	1613	34	100	1843	300	0.32	25.99255833055	0.875203472599023	71.0899291019687	0.0137463883160235	0.0284736962406311	0.365629262244265	0.253345936664313	0.524770221714831	61	71	1
SPAPB1A10.09	38	1651	26	100	2338	300	0.38	30.8661630175281	0.706159110350727	57.3590058326267	0.0164508860869126	0.0320653361258738	0.538122350090854	0.384621716712016	0.749687558622929	57	81	1
SPAPB1A10.13	6	478	48	100	2947	300	0.06	4.87360468697812	0.162198846284357	13.1748842912314	0.00507479746147414	0.0289869941723342	0.369916317991632	0.149554281189643	0.854246718258688	14	92	1
SPAPB1A10.14	13	794	177	100	1368	300	0.13	10.5594768217859	0.580409356725146	47.1447626883604	0.00906198573987788	0.0289526136015673	0.223979848866499	0.123967964921529	0.396071754069441	41	72	1
SPAPB1A10.15	6	159	2	100	1120	300	0.06	4.87360468697812	0.141964285714286	11.5312968040107	0.0150917832341831	0.0881762978284154	0.422641509433962	0.169027972222851	0.987574535678252	13	93	1
SPAC140.01	328	2662	229	100	1131	300	3.28	266.423722888137	2.35366931918656	191.18089709307	0.109674198976812	0.138407509322749	1.39356874530428	1.24041519042775	1.5653889304403	300	128	1
SPAC140.02	453	11572	372	100	1830	300	4.53	367.957153866848	6.32349726775956	513.637098704105	0.0355972563805399	0.0430446628269709	0.716375734531628	0.65142979176388	0.787717329733567	477	76	1
SPAC140.03	13	325	13	100	1496	300	0.13	10.5594768217859	0.217245989304813	17.6461845283856	0.0219874007779743	0.0712410013112862	0.5984	0.328931515638495	1.06576537961684	20	93	1
SPNCRNA.182	8	1	118	100	170	300	0.08	6.49813958263749	0.00588235294117647	0.477804381076286	1.0271722813421	170.598481363121	13.6	1.74619287828158	290.017418317306	0	108	1
SPAC140.04	45	223	4	100	1566	300	0.45	36.5520351523359	0.142401021711367	11.5667714473831	0.144527668041472	0.280927708503127	3.16008968609865	2.26330328152945	4.39932791515897	18	127	0.000131497013840626
SPAC110.01	4	7321	348	100	5792	300	0.04	3.24906979131875	1.26398480662983	102.669371297672	0.000174975689310575	0.001503107166375	0.0316459500068297	0.0101345919248685	0.08705996707644	58	46	1
SPAC110.02	81	1201	1096	100	3853	300	0.81	65.7936632742046	0.311705164806644	25.3187958692825	0.0534910313736957	0.0849234424655147	2.59860949208993	2.0610094388285	3.27210023819628	43	138	7.17173719472497e-06
SPAC110.03	135	3042	107	100	1448	300	1.35	109.656105457008	2.10082872928177	170.643479026098	0.0372035184121177	0.0529048091917851	0.642603550295858	0.538706946607464	0.766061637097048	159	76	1
SPNCRNA.774	8	8	3	100	568	300	0.08	6.49813958263749	0.0140845070422535	1.14403865891505	0.342538949259731	2.91937603639272	5.68	1.94562123179527	16.5820558867106	1	107	1
SPAP14E8.02	68	1334	112	100	2175	300	0.68	55.2341864524187	0.613333333333333	49.8190701335541	0.0396328350948219	0.0654477264684429	1.10869565217391	0.862014163312377	1.42348805068863	63	105	1
SPAP14E8.03	32	817	122	100	1264	300	0.32	25.99255833055	0.646360759493671	52.5017804491182	0.0270439770988059	0.0564171688835099	0.495079559363525	0.341835870528907	0.713113014687565	51	81	1
SPAP14E8.04	18	466	19	100	1062	300	0.18	14.6208140609344	0.43879472693032	35.6418672964815	0.0233801299676499	0.0629903457295971	0.410214592274678	0.248296980256442	0.668957471648321	35	83	1
SPAC3H1.03	2	291	27	100	743	300	0.02	1.62453489565937	0.391655450874832	31.8128973510685	0.00118459078617223	0.0278940429368689	0.0510652920962199	0.00880150954125968	0.207252739020936	28	74	1
SPAC3H1.05	0	2768	143	100	2058	300	0	0	1.34499514091351	109.249577045314	3.28387270985275e-05	0.00173078964855753	0	0.000675821003687697	0.035619650967314	57	43	1
SPNCRNA.775	4	2	112	100	72	300	0.04	3.24906979131875	0.0277777777777778	2.25629846619357	0.317658834507675	15.6695269662331	1.44	0.228714360845526	11.2820594156878	2	102	1
SPAC3H1.07	72	3805	281	100	990	300	0.72	58.4832562437374	3.84343434343434	312.189660504238	0.0148770954107456	0.0240287577593394	0.187332457293035	0.147283244566381	0.23788470181746	136	36	1
SPNCRNA.776	87	49	8	100	696	300	0.87	70.6672679611827	0.0704022988505747	5.71854956086992	1.23443945360275	2.55784934848868	12.3575510204082	8.59169859707513	17.8026314654812	12	175	1.55825023225867e-31
SPAC3H1.10	2	893	7	100	2111	300	0.02	1.62453489565937	0.423022264329702	34.3607215022222	0.000387302981930927	0.00905161587179534	0.0472788353863382	0.00817596594856188	0.1910796110536	30	72	1
SPNCRNA.778	0	42	10	100	1085	300	0	0	0.0387096774193548	3.14426108837298	0.00217558502762114	0.116531237016716	0	0.0236050975496894	1.26436392163137	3	97	1
SPNCRNA.779	7	53	52	100	703	300	0.07	5.6858721348078	0.0753911806543385	6.12378018989664	0.0549656306635974	0.301692244776696	0.928490566037736	0.38640838356509	2.12089648078017	7	100	1
SPNCRNA.781	12	124	17	100	1304	300	0.12	9.74720937395624	0.0950920245398773	7.7240156081964	0.050935374502413	0.179662002166983	1.26193548387097	0.664197283511466	2.34279250825745	9	103	1
SPNCRNA.784	2	21	34	100	222	300	0.02	1.62453489565937	0.0945945945945946	7.68361099298352	0.0154410000460713	0.418616073048669	0.211428571428571	0.0342790201022782	0.929327682168046	8	94	1
SPAC3H1.11	46	5038	174	100	3878	300	0.46	37.3643026001656	1.29912325941207	105.523553433882	0.0067514461209652	0.0123085627014177	0.354084954346963	0.26182108057103	0.477326061560978	82	64	1
SPAC3H1.13	13	324	22	100	1171	300	0.13	10.5594768217859	0.27668659265585	22.4743512465259	0.0220544753626645	0.0714635381111429	0.469845679012346	0.258257906496802	0.836838031281484	24	89	1
SPAC3H1.14	37	296	40	100	856	300	0.37	30.0538955696984	0.345794392523364	28.087752868877	0.0874342474907537	0.177963202781333	1.07	0.748437158520852	1.52336501580821	35	102	1
SPAC9G1.02	551	5420	33	100	4530	300	5.51	447.559363754157	1.19646799116998	97.185200159755	0.093036552353556	0.111075855042735	4.60522140221402	4.21455582161609	5.03173623343589	354	297	3.11885590344838e-53
SPAC9G1.04	9	804	129	100	1217	300	0.09	7.31040703046718	0.660640920295809	53.6617114260532	0.00544140622321663	0.0221820452192862	0.136231343283582	0.0662219137365464	0.269955490318713	43	66	1
SPAC9G1.05	98	2011	48	100	2153	300	0.98	79.6022098873093	0.934045517882025	75.869476896679	0.0395700660539656	0.0599549112394973	1.04919940328195	0.85194352214188	1.29082923898638	95	103	1
SPAC9G1.07	23	1105	104	100	1334	300	0.23	18.6821513000828	0.828335832083958	67.2830232272716	0.0134477115366649	0.0319255250778636	0.277665158371041	0.17939247189911	0.4258865045387	55	68	1
SPAC9G1.09	11	203	4	100	5343	300	0.11	8.93494192612655	0.0379936365337825	3.08609941810643	0.0280148359684508	0.102012936632037	2.89522167487685	1.49683268579433	5.45055120424972	4	107	1
SPAC9G1.12	2	1001	12	100	2378	300	0.02	1.62453489565937	0.42094196804037	34.1917458064557	0.000345575950594544	0.00807324596273391	0.0475124875124875	0.00821779610513826	0.191981788993813	30	72	1
SPNCRNA.785	3	122	37	100	1131	300	0.03	2.43680234348906	0.107869142351901	8.76185929577557	0.00625764311265989	0.0797334758178471	0.278114754098361	0.0707739436041834	0.901785611499851	10	93	1
SPAC17H9.01	21	1339	229	100	4034	300	0.21	17.0576164044234	0.331928606841844	26.9614802341088	0.00992771903282639	0.0245183667016743	0.632666168782674	0.400484185784217	0.989070912745542	30	91	1
SPAC17H9.02	77	1073	34	100	3196	300	0.77	62.5445934828859	0.335732165206508	27.2704308986625	0.0565400187902206	0.09095079986532	2.29349487418453	1.80701900053545	2.90678756369563	44	133	0.0010116494079677
SPAC17H9.05	38	1628	47	100	3190	300	0.38	30.8661630175281	0.510344827586207	41.453649061653	0.0166823932871488	0.0325201393941937	0.744594594594595	0.532168345860048	1.03739244667478	46	92	1
SPAC17H9.07	19	1106	45	100	1058	300	0.19	15.433081508764	1.04536862003781	84.9118901039351	0.0106019891975452	0.0275003983873294	0.181754068716094	0.112169045710028	0.290954214937945	60	59	1
SPAC17H9.08	6	434	10	100	2482	300	0.06	4.87360468697812	0.174858984689766	14.2032261224047	0.00558621070426503	0.0319448628904492	0.343133640552995	0.138649749679858	0.792871496940949	15	91	1
SPAC17H9.11	27	661	107	100	615	300	0.27	21.9312210914015	1.07479674796748	87.3022411407191	0.0272349304745924	0.0608322622437482	0.251210287443268	0.167494822418743	0.374118412799052	65	62	1
SPNCRNA.788	9	35	192	100	186	300	0.09	7.31040703046718	0.188172043010753	15.2846025129242	0.115158611157372	0.55647303059621	0.478285714285714	0.214195016752712	1.03503983690895	17	92	1
SPNCRNA.184	5	5	16	100	95	300	0.05	4.06133723914843	0.0526315789473684	4.27509183068256	0.252227351815222	3.96467707726078	0.95	0.239615984224461	3.76644322339774	5	100	1
SPAC17H9.16	107	1498	47	100	887	300	1.07	86.9126169177764	1.68883878241263	137.17887675861	0.0584073164054782	0.0872769191622983	0.633571428571428	0.518072896516591	0.774146272969586	130	77	1
SPAC17H9.20	7	1425	21	100	4037	300	0.07	5.6858721348078	0.352984889769631	28.6718135535621	0.00214825756314154	0.0106342066607115	0.198308771929825	0.0867251578240239	0.429302922892924	27	80	1
SPAC607.04	32	674	74	100	910	300	0.32	25.99255833055	0.740659340659341	60.1613472348581	0.0327324943245086	0.0684917178254558	0.432047477744807	0.297865698353028	0.623274632211648	56	76	1
SPAC607.05	396	2463	131	100	1146	300	3.96	321.657909340556	2.14921465968586	174.573710646118	0.144379688085641	0.17902183744287	1.84253349573691	1.65459122546145	2.05159025709529	338	158	0.000240470387059677
SPNCRNA.186	10	561	25	100	751	300	0.1	8.12267447829686	0.747003994673768	60.6767028272242	0.00900418969740207	0.034181843227248	0.133868092691622	0.0676214646274896	0.256705642636633	47	63	1
SPAC607.10	10	675	2	100	4160	300	0.1	8.12267447829686	0.162259615384615	13.1798203674288	0.00749103173861587	0.0283788467109125	0.616296296296296	0.31162692032642	1.18056002317396	15	95	1
SPAC732.01	32	1691	162	100	975	300	0.32	25.99255833055	1.73435897435897	140.876333772308	0.0131145131866096	0.0271556783608369	0.184506209343584	0.127866503569444	0.264767864018159	83	49	1
SPNCRNA.791	0	0	0	100	926	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC3C7.04	14	1953	40	100	2875	300	0.14	11.3717442696156	0.679304347826087	55.1776808908305	0.00407139240906877	0.0123799508156413	0.206093189964158	0.117052531760727	0.355923585949688	46	68	1
SPAC3C7.09	8	288	104	100	1309	300	0.08	6.49813958263749	0.220015278838808	17.8711249025936	0.0127820864594433	0.0577514939791575	0.363611111111111	0.167317511754113	0.755967056187172	19	89	1
SPAC3C7.10	46	783	57	100	1124	300	0.46	37.3643026001656	0.69661921708185	56.5841113568189	0.0431169291962379	0.0797969420299105	0.660332056194125	0.484634284165713	0.896917628416194	59	87	1
SPAC3C7.12	5	1107	72	100	1867	300	0.05	4.06133723914843	0.592929833958222	48.1617602971324	0.00165929412534439	0.0112301636313019	0.084327009936766	0.0309790213201797	0.209667154996407	39	66	1
SPNCRNA.793	0	161	14	100	2123	300	0	0	0.0758360810174282	6.15991799814317	0.000565316506747438	0.0299149992091752	0	0.0120016694382481	0.635095433210788	7	93	1
SPAC25A8.02	7	762	40	100	1575	300	0.07	5.6858721348078	0.483809523809524	39.2982727140458	0.00401049704787302	0.0199234970470904	0.144685039370079	0.063165328504	0.313795078491673	34	73	1
SPAC631.02	5	6195	80	100	4835	300	0.05	4.06133723914843	1.28128231644261	104.074391712614	0.000297028179743725	0.00200285152209889	0.0390234059725585	0.0143613124906091	0.0968378710934811	58	47	1
SPAC20H4.01	137	2189	335	100	2252	300	1.37	111.280640352667	0.97202486678508	78.9544157770508	0.0524551465930745	0.0746277284449224	1.4094289629968	1.18128990127604	1.68061644457965	116	121	1
SPAC20H4.02	101	636	96	100	748	300	1.01	82.0390122307983	0.850267379679144	69.0644514464814	0.127988060177729	0.196866159363528	1.18786163522013	0.957350690129415	1.47255887203919	92	109	1
SPAC20H4.04	33	1018	19	100	3555	300	0.33	26.8048257783797	0.286357243319269	23.2598667198487	0.0225428392594761	0.0463712702002489	1.15240667976424	0.801397935674374	1.64849865561885	29	104	1
SPAC20H4.07	0	703	21	100	1816	300	0	0	0.387114537444934	31.4440537348166	0.00012933006654412	0.00682138494066393	0	0.00234863400844122	0.123876350522457	27	73	1
SPAC20H4.08	11	624	190	100	875	300	0.11	8.93494192612655	0.713142857142857	57.9262728509399	0.00921964343736309	0.032787735512746	0.154246794871795	0.0806718800769271	0.286892685736528	46	65	1
SPAC20H4.09	84	477	173	100	2138	300	0.84	68.2304656176937	0.22310570626754	18.1221502626174	0.13866634946952	0.223380444328225	3.76503144654088	2.96468655165834	4.77587389973745	33	151	2.04391491320546e-12
SPAC20H4.10	50	2316	116	100	3073	300	0.5	40.6133723914843	0.753660917670029	61.2174230124814	0.0161399743065045	0.0287963634816342	0.663428324697755	0.495981410438883	0.884912249790619	64	86	1
SPAC23C11.01	137	1492	103	100	2586	300	1.37	111.280640352667	0.576952822892498	46.8639996969022	0.0767715895572964	0.109760559013862	2.37454423592493	1.98531330595168	2.83840805609848	86	151	6.43613730720442e-07
SPAC23C11.03	23	1155	115	100	1872	300	0.23	18.6821513000828	0.61698717948718	50.1158601625688	0.0128680807255637	0.0305373523994596	0.372779220779221	0.240890471182553	0.571659236917883	46	77	1
SPAC23C11.05	348	6951	273	100	997	300	3.48	282.669071844731	6.97191574724173	566.306021049564	0.0448858534968825	0.0558328509229946	0.499145446698317	0.447511959363918	0.556653523702256	391	57	1
SPNCRNA.798	59	622	22	100	1635	300	0.59	47.9237794219515	0.380428134556575	30.9009389938878	0.0719383875981257	0.124810170190431	1.55088424437299	1.17619263722936	2.04064628261355	43	116	1
SPAC23C11.08	126	685	175	100	507	300	1.26	102.34569842654	1.35108481262327	109.744221255096	0.151396326904629	0.223342821247487	0.932583941605839	0.767579377406467	1.13234810372476	129	97	1
SPAC23C11.09	229	4379	140	100	2814	300	2.29	186.009245552998	1.55614783226724	126.400822816141	0.0456818150835542	0.0598489484097305	1.47158255309431	1.28548627645121	1.68414940824982	200	129	1
SPAC23C11.10	12	21	4	100	755	300	0.12	9.74720937395624	0.0278145695364238	2.25928694098323	0.265200564291905	1.21520217342515	4.31428571428571	2.00226426040388	9.1747764093599	3	109	1
SPAC23C11.11	162	3356	162	100	1972	300	1.62	131.587326548409	1.70182555780933	138.233750249312	0.0410945557214026	0.0566757397246732	0.9519189511323	0.81038463882606	1.11764558737056	165	97	1
SPAC23C11.12	30	75	41	100	211	300	0.3	24.3680234348906	0.355450236966825	28.87206568115	0.256108923728863	0.622006007375991	0.844	0.540389829067901	1.31243267556334	34	96	1
SPNCRNA.187	6	22	79	100	406	300	0.06	4.87360468697812	0.0541871921182266	4.40144922469288	0.099238444329978	0.708298164460976	1.10727272727273	0.40290808397971	2.87569054771156	5	101	1
SPAC23C11.14	65	2444	315	100	1410	300	0.65	52.7973841089296	1.73333333333333	140.793024290479	0.0206188834610185	0.034240372114779	0.375	0.290726256800361	0.482789246818384	104	61	1
SPAC23C11.15	15	1331	62	100	3393	300	0.15	12.1840117174453	0.392278219864427	31.863482848845	0.00652697244110956	0.019123525639533	0.382381667918858	0.221460174926847	0.648861224949356	32	83	1
SPAC23C11.16	31	1202	47	100	2336	300	0.31	25.1802908827203	0.514554794520548	41.7956109713734	0.0177407453925381	0.0372764072215857	0.602462562396007	0.414423812369689	0.870776872696243	44	87	1
SPAC23C11.17	126	5200	230	100	1611	300	1.26	102.34569842654	3.22780881440099	262.184402775566	0.0202211287908914	0.0290152396194149	0.390357692307692	0.325762384821261	0.467435510268775	172	54	1
SPNCRNA.801	0	60	25	100	2222	300	0	0	0.027002700270027	2.19334144328448	0.00152047587690972	0.0810402206892091	0	0.033784973984934	1.80071370371423	2	98	1
SPAC13F5.05	10	836	98	100	1977	300	0.1	8.12267447829686	0.422862923621649	34.3477787751956	0.00605417250086037	0.0228905357960084	0.236483253588517	0.119690990342009	0.452545892687086	32	78	1
SPNCRNA.802	3	6	0	100	904	300	0.03	2.43680234348906	0.00663716814159292	0.539115562718818	0.0994064108776846	2.23440263509104	4.52	0.898633954334269	20.198999821223	0	103	1
SPAC1783.01	33	1197	57	100	3347	300	0.33	26.8048257783797	0.357633701822528	29.0494214237268	0.0191884481891699	0.039402072982248	0.922731829573935	0.642237360891518	1.31878738271584	35	98	1
SPAC1783.03	16	424	0	100	2822	300	0.16	12.996279165275	0.15024805102764	12.2041600949606	0.0221119586936949	0.0634057798964214	1.06490566037736	0.62399947433607	1.78931110867701	15	101	1
SPAC1783.05	4	2228	48	100	4457	300	0.04	3.24906979131875	0.499887816917209	40.6042601248495	0.000574572868100446	0.00494275139563777	0.0800179533213645	0.0256087127312369	0.220298429703575	34	70	1
SPNCRNA.804	20	65	33	100	510	300	0.2	16.2453489565937	0.127450980392157	10.3524282566529	0.18050194080262	0.519816130011503	1.56923076923077	0.920559898093364	2.65106226305867	13	107	1
SPAC18G6.03	355	5482	614	100	1281	300	3.55	288.354943979539	4.27946916471507	347.607349648895	0.0580780919174282	0.0721945025737368	0.829542137905874	0.743980357462255	0.924811577969568	368	87	1
SPNCRNA.188	6	43	204	100	543	300	0.06	4.87360468697812	0.0791896869244936	6.43232048925903	0.0534912945630209	0.341623412464878	0.757674418604651	0.290457729477203	1.85501512968429	7	99	1
SPAC18G6.06	74	616	134	100	905	300	0.74	60.1077911393968	0.680662983425414	55.2880384379101	0.0936635315926763	0.153848690816528	1.08717532467532	0.847654960913721	1.39233065188958	70	104	1
SPAC18G6.10	16	736	21	100	2325	300	0.16	12.996279165275	0.316559139784946	25.7130684560279	0.0127917686886813	0.0363699633426399	0.505434782608696	0.297408622011841	0.845601647716378	27	89	1
SPAC18G6.13	3	19	21	100	155	300	0.03	2.43680234348906	0.12258064516129	9.95682677984777	0.0372348404284344	0.561573026386184	0.244736842105263	0.0577140026640734	0.870438190898585	11	92	1
SPAC18G6.15	74	1058	58	100	1406	300	0.74	60.1077911393968	0.7524893314367	61.1222588765155	0.0548477329299452	0.0890584013969757	0.983402646502836	0.771159124995029	1.25216112364148	74	100	1
SPAC13D6.01	10	60	6	100	1431	300	0.1	8.12267447829686	0.0419287211740042	3.40573353387709	0.0802445470257155	0.336293665674071	2.385	1.14829946793799	4.81236235579596	4	106	1
SPNCRNA.189	1	8	12	100	206	256	0.01	0.812267447829686	0.0388349514563107	3.15443669060072	0.00586171689225921	0.973546520057376	0.2575	0.012075136798054	2.00550583131819	3	98	1
SPAC13D6.05	36	592	154	100	830	300	0.36	29.2416281218687	0.713253012048193	57.9352203753222	0.0427714405332276	0.0860685381354813	0.50472972972973	0.355002956425789	0.714368866524495	56	80	1
SPAC4G9.02	38	599	885	100	1161	300	0.38	30.8661630175281	0.515934539190353	41.9076831395333	0.0450403741186559	0.0889825454501882	0.73652754590985	0.522918743517594	1.03308735267668	46	92	1
SPAC4G9.03	240	1875	153	100	663	300	2.4	194.944187479125	2.82805429864253	229.713644748214	0.111641033254671	0.146719711271899	0.84864	0.740180050478471	0.972751685732688	251	89	1
SPAC4G9.05	2	28	3	100	3049	300	0.02	1.62453489565937	0.00918333879960643	0.745932716931165	0.0117687294574852	0.307314068338505	2.17785714285714	0.358828561158724	9.37000594364103	0	102	1
