Cdk9as_3MBPP1_combined_pr_counts	Cdk9as_3MBPP1_combinedgb_counts	Cdk9as_3MBPP1_combinedterm_counts	Cdk9as_3MBPP1_combinedpr_map	Cdk9as_3MBPP1_combinedgb_map	Cdk9as_3MBPP1_combinedterm_map	Cdk9as_3MBPP1_combinedpr_density	Cdk9as_3MBPP1_combinedpr_densityRPKM	Cdk9as_3MBPP1_combinedgb_density	Cdk9as_3MBPP1_combinedgb_densityRPKM	Cdk9as_3MBPP1_combinedpause_index_CI_low	Cdk9as_3MBPP1_combinedpause_index_CI_high	Cdk9as_3MBPP1_combinedpause_index_scaled	Cdk9as_3MBPP1_combinedpause_index_CI_low_scaled	Cdk9as_3MBPP1_combinedpause_index_CI_high_scaled	Cdk9as_3MBPP1_combined_ExpPR	Cdk9as_3MBPP1_combined_ExpGB	Cdk9as_3MBPP1_combinedFexact_Pval
SPAC806.06c	34	4644	19	100	2626	300	0.34	16.8826436789942	1.76846915460777	87.8130429251031	0.00514295112880288	0.0103694988562165	0.192256675279931	0.135053896642364	0.272303039964244	85	49	1
SPNCRNA.629	11	79	19	100	431	300	0.11	5.46203177849813	0.183294663573086	9.10146615695743	0.0701354838512572	0.269449633465892	0.600126582278481	0.302283935398919	1.16132792023799	17	94	1
SPAC806.08c	276	912	31	100	2147	300	2.76	137.047342805953	0.424778761061947	21.092319015922	0.263887254756913	0.347004468026854	6.4975	5.66565935963092	7.45018592853654	112	264	4.31612348585766e-56
SPAC1639.01c	136	14113	750	100	3093	300	1.36	67.5305747159768	4.56288393145813	226.569245774752	0.00810806558152654	0.011445899256227	0.298057110465528	0.250782468436616	0.354021663995101	193	43	1
SPAC1639.02c	83	4679	168	100	3414	300	0.83	41.2135125104859	1.3705330990041	68.0535940022174	0.0141874212820115	0.0221501350324476	0.605603761487497	0.484358562567874	0.756205610007763	105	78	1
SPNCRNA.632	0	12	2	100	1041	300	0	0	0.0115273775216138	0.572390021325452	0.00771806013949717	0.431135285113533	0	0.0803450060521655	4.48811831803188	1	99	1
SPAC1F5.10	26	2533	191	100	1269	300	0.26	12.9102569309956	1.99605988967691	99.1140231745523	0.00683071482550817	0.015307815031618	0.130256612712199	0.0866817711356987	0.194256172751233	83	43	1
SPNCRNA.634	8	377	40	100	2162	300	0.08	3.97238674799864	0.174375578168363	8.65859044863255	0.00978850019904126	0.0440030371960176	0.458779840848806	0.211627374303272	0.9513456641779	16	92	1
SPAC1F5.06	289	4268	11	100	4375	300	2.89	143.502471271451	0.975542857142857	48.4404189727377	0.0599958531332767	0.0764083872258351	2.96245313964386	2.62481857458086	3.34286694113029	192	197	5.42449024682111e-19
SPAC1F5.02	227	13382	416	100	1626	300	2.27	112.716473974461	8.230012300123	408.65989746093	0.0148435126512475	0.0193797321688848	0.275819757883724	0.241355515709284	0.315114445066067	291	36	1
SPAC18B11.11	18	1869	16	100	4344	300	0.18	8.93787018299693	0.43024861878453	21.3639238950548	0.00587121610987404	0.0155904375557544	0.418362760834671	0.255045627812928	0.67724860742197	35	83	1
SPAC18B11.10	298	3243	111	100	2332	300	2.98	147.971406362949	1.39065180102916	69.0525848186084	0.0814590807929149	0.103638124353253	2.14288004933703	1.89962576409077	2.41684105991786	231	167	7.78778747927042e-08
SPAC18B11.06	70	2202	174	100	1062	300	0.7	34.7583840449881	2.07344632768362	102.95663393471	0.0248663422483313	0.0405711852681226	0.337602179836512	0.264080554677279	0.430865987547462	114	56	1
SPAC18B11.05	87	1357	162	100	1589	300	0.87	43.1997058844852	0.853996224040277	42.4050410402309	0.0512942243464748	0.0800373416844435	1.01873986735446	0.815065224865485	1.27179335936581	86	101	1
SPAC18B11.04	28	1394	102	100	1125	300	0.28	13.9033536179952	1.23911111111111	61.5278569634456	0.0135506869754095	0.0295730215396851	0.22596843615495	0.152445228473357	0.332696492321457	70	58	1
SPNCRNA.636	1	931	13	100	3861	300	0.01	0.49654834349983	0.241129241129241	11.9732325252096	5.60144214450258e-05	0.0069871915764318	0.0414715359828142	0.00216271681199245	0.269775466766032	19	82	1
SPAC12G12.15	261	2514	179	100	1759	300	2.61	129.599117653456	1.42922114837976	70.9677393722895	0.0911990824171969	0.118158121836929	1.82616945107399	1.60419185971849	2.07840136311158	212	149	0.00138709524327574
SPNCRNA.638	1	18	4	100	582	300	0.01	0.49654834349983	0.0309278350515464	1.53571652628813	0.00276112751307903	0.390963955466763	0.323333333333333	0.01606976212612	2.27541022081656	3	98	1
SPAC12G12.12	23	1215	46	100	1209	300	0.23	11.4206119004961	1.00496277915633	49.901260326906	0.0122352373525174	0.0290229893434786	0.228864197530864	0.147924019591935	0.350887941162656	61	62	1
SPAC12G12.10	53	2141	202	100	1189	300	0.53	26.317062205491	1.80067283431455	89.4121113064033	0.0186595548760167	0.0327566473749377	0.294334423166745	0.221862107475838	0.389476537288009	98	55	1
SPAC12G12.09	9	1748	85	100	2798	300	0.09	4.46893509149847	0.624731951393853	31.0209615596034	0.00250817328321746	0.0101796711317208	0.144061784897025	0.0701786884644246	0.284827198265549	41	68	1
SPAC12G12.08	6	762	16	100	1186	300	0.06	2.97929006099898	0.642495784148398	31.9030217324511	0.00318987629799567	0.0181434759164611	0.0933858267716535	0.0378319328942286	0.215181624369228	41	65	1
SPAC12G12.04	293	14455	1149	100	2131	300	2.93	145.48866464545	6.78320037541061	336.818691003756	0.0180239324271288	0.0227910532591268	0.431949498443445	0.384090000022115	0.485677344951993	342	51	1
SPAC12G12.03	201	9106	1088	100	2891	300	2.01	99.8062170434657	3.14977516430301	156.401564023156	0.0191443333502819	0.025441727113512	0.638140786294751	0.55346267715665	0.735520330851633	228	73	1
SPAC12G12.02	1	2297	854	100	2301	300	0.01	0.49654834349983	0.998261625380269	49.568515646202	2.27164025212805e-05	0.00282938867342361	0.0100174140182847	0.000522704422014665	0.0651042333754774	50	51	1
SPAC630.04c	63	1436	618	100	2664	300	0.63	31.2825456404893	0.539039039039039	26.7658941916575	0.0337971016522656	0.0568382268912641	1.16874651810585	0.900354788016355	1.51417036438328	57	106	1
SPAC630.06c	5	563	0	100	3300	300	0.05	2.48274171749915	0.170606060606061	8.47141567849709	0.00325582662142202	0.0221317890444317	0.293072824156305	0.107442278506927	0.730349038466247	15	90	1
SPAC630.07c	26	762	24	100	1589	300	0.26	12.9102569309956	0.479546884833228	23.8118211294443	0.0225961492198631	0.0511383263231703	0.542178477690289	0.359052811103625	0.812588005275176	40	86	1
SPAC630.08c	150	8223	418	100	1479	300	1.5	74.4822515249744	5.55983772819473	276.072821406295	0.0154672981978321	0.0215017541206224	0.269792046698285	0.228761340345937	0.318010943444005	211	39	1
SPNCRNA.642	25	18	165	100	274	300	0.25	12.4137085874957	0.0656934306569343	3.26199641715217	0.730536245197739	2.6534749957137	3.80555555555556	2.0016693118418	7.27052148825554	7	118	0.303549507461786
SPAC630.09c	50	2221	115	100	1409	300	0.5	24.8274171749915	1.57629524485451	78.2706792699164	0.0168280841834951	0.030032147993264	0.317199459702837	0.237107706145446	0.42315296522509	91	59	1
SPAC630.13c	52	4026	83	100	4143	300	0.52	25.8205138619911	0.971759594496742	48.2525616927423	0.00972487288384805	0.0171087328674083	0.535111773472429	0.402901483577825	0.708814802696727	74	78	1
SPAC630.14c	58	7905	266	100	3293	300	0.58	28.7998039229901	2.40054661402976	119.19874446906	0.00561553834110684	0.00956481287709261	0.241611638203669	0.184919677572648	0.31496928804266	111	47	1
SPAC1751.01c	3	2228	84	100	6707	300	0.03	1.48964503049949	0.332190248993589	16.4948517864562	0.000347469561987785	0.00429497623563746	0.0903096947935368	0.0233047835225207	0.288064056124204	25	78	1
SPAC1751.02c	33	753	19	100	1084	300	0.33	16.3860953354944	0.694649446494465	34.49270319699	0.0304141856378129	0.0628204804140976	0.475059760956175	0.329689772313892	0.680974007688818	54	79	1
SPNCRNA.643	4	23	30	100	439	300	0.04	1.98619337399932	0.0523917995444191	2.60150612767564	0.0510340464290798	0.529307342558426	0.763478260869565	0.224039463823661	2.32365923383149	5	99	1
SPAC31A2.04c	536	3385	654	100	593	300	5.36	266.149912115909	5.70826306913997	283.44285712427	0.144399112877427	0.17362661737021	0.938989660265879	0.856286739363142	1.02960584100535	541	95	1
SPAC31A2.05c	28	2017	33	100	5062	300	0.28	13.9033536179952	0.398459107072303	19.7854209569173	0.00937665565918625	0.0204133062207048	0.702706990580069	0.474646309468008	1.03332156089208	36	92	1
SPAC31A2.07c	90	3216	20	100	2587	300	0.9	44.6893509149847	1.24313877077696	61.7278497369715	0.022562557619612	0.0346707013237	0.723973880597015	0.583693365619364	0.896931043244118	105	85	1
SPAC31A2.09c	127	2199	15	100	2348	267	1.27	63.0616396244784	0.936541737649063	46.5038248448094	0.0480887372143058	0.0693138258309472	1.35605275125057	1.1291235497919	1.62748863051064	109	118	1
SPAC31A2.11c	286	2509	48	100	1949	300	2.86	142.012826240951	1.28732683427399	63.9220007101628	0.100666959536653	0.129050695007862	2.22165803108808	1.96199904136937	2.51519804570323	217	169	1.55254972381052e-08
SPAC31A2.13c	26	367	78	100	383	300	0.26	12.9102569309956	0.95822454308094	47.5804809567722	0.0465713830259449	0.10698120507141	0.27133514986376	0.178368396989369	0.409738015423502	61	65	1
SPAC31A2.15c	7	1181	22	100	1905	300	0.07	3.47583840449881	0.61994750656168	30.7833907440052	0.00259103648391165	0.0128369035269275	0.112912785774767	0.0493592450185169	0.24454301218797	40	67	1
SPAC13C5.01c	211	3071	213	100	1113	300	2.11	104.771700478464	2.759209344115	137.008082918956	0.0596080611343082	0.0791707008686035	0.764711820253989	0.663437720424851	0.881169900667557	228	83	1
SPNCRNA.644	12	85	150	100	767	300	0.12	5.95858012199796	0.110821382007823	5.50281736603462	0.0733549018959481	0.265677232495697	1.08282352941176	0.562632097541922	2.037744373242	11	101	1
SPNCRNA.645	83	572	50	100	574	300	0.83	41.2135125104859	0.996515679442509	49.4818209898785	0.114461719601469	0.183728656708697	0.832902097902098	0.657010270512431	1.05460248950792	91	92	1
SPAC13C5.05c	53	1120	30	100	1652	300	0.53	26.317062205491	0.677966101694915	33.6642944745647	0.0355574158720992	0.0628176267502386	0.78175	0.587408510207079	1.03774719391394	61	92	1
SPAC13C5.06c	218	956	63	100	880	300	2.18	108.247538882963	1.08636363636364	53.9432064074815	0.196285721315966	0.264846060678176	2.00669456066946	1.7273143475805	2.33064533396795	165	153	0.000159256997960796
SPNCRNA.646	18	895	602	100	709	300	0.18	8.93787018299693	1.262341325811	62.6813494262831	0.01222888889612	0.032643967376518	0.14259217877095	0.0867028222734906	0.231445728699513	65	53	1
SPNCRNA.647	28	139	6	100	1482	300	0.28	13.9033536179952	0.0937921727395412	4.6572348007069	0.131333522304253	0.30712371793061	2.98532374100719	1.94636280054903	4.55157349973163	10	118	0.0683186460143744
SPNCRNA.648	20	121	73	100	655	300	0.2	9.93096686999659	0.184732824427481	9.17287779595105	0.0999389892662924	0.270592681908932	1.08264462809917	0.654600379694215	1.7723820665035	18	102	1
SPNCRNA.649	1	1	11	100	195	300	0.01	0.49654834349983	0.00512820512820513	0.254640176153759	0.027408528703162	36.4849938072245	1.95	0.0534466309711659	71.1457379240878	0	101	1
SPAC23E2.03c	147	2055	25	100	2501	300	1.47	72.992606494475	0.821671331467413	40.7999538541443	0.0602859968137273	0.0848322259098568	1.78903649635036	1.50775278031132	2.12165397000552	111	136	0.0437781313400793
SPAC24H6.13	0	8689	208	100	3680	300	0	0	2.36114130434783	117.242080344294	1.04606542490343e-05	0.000551243848392756	0	0.000384952076364461	0.0202857736208534	70	30	1
SPNCRNA.652	7	196	0	100	3042	300	0.07	3.47583840449881	0.064431295200526	3.19932529013697	0.0154274312752545	0.0783440528882819	1.08642857142857	0.469302459393241	2.38322608886154	6	101	1
SPAC24H6.09	214	3912	104	100	2802	300	2.14	106.261345508964	1.39614561027837	69.3253790068285	0.0475518427548462	0.0629112722277528	1.53279141104294	1.33240263399079	1.76277384782163	182	132	1
SPAC24H6.08	179	973	73	100	844	300	1.79	88.8821534864695	1.15284360189573	57.2442580835704	0.15633977470038	0.216396546794917	1.55268242548818	1.31950769847121	1.8263868549491	149	130	1
SPAC24H6.07	191	3417	522	100	564	300	1.91	94.8407336084675	6.05851063829787	300.83434215229	0.0481809568066858	0.0648249792151643	0.315258999122037	0.271740596389708	0.365612882773526	249	42	1
SPAC24H6.06	12	937	62	100	2050	300	0.12	5.95858012199796	0.457073170731707	22.6958925785044	0.00691218356445277	0.0231590298107207	0.262540021344717	0.141699763071282	0.474760111119775	35	77	1
SPAC24H6.05	10	4408	208	100	2945	300	0.1	4.9654834349983	1.49677419354839	74.3220746399745	0.00115195721173648	0.00432648087219266	0.0668103448275862	0.0339251398856394	0.127414861686074	65	45	1
SPAC24H6.04	96	4275	74	100	2377	300	0.96	47.6686409759836	1.79848548590661	89.3034988835411	0.0182430202018458	0.0276131989627477	0.533782456140351	0.433636590197875	0.656365739344513	125	71	1
SPAC24H6.03	29	1556	43	100	2791	300	0.29	14.3999019614951	0.557506270154067	27.682881493577	0.0126678877903548	0.0272450863146753	0.5201735218509	0.353560748228804	0.760410359042588	46	83	1
SPNCRNA.654	12	17	25	100	147	300	0.12	5.95858012199796	0.115646258503401	5.7423958091817	0.317368320913405	1.55534308820198	1.03764705882353	0.466531431742706	2.28635433965691	11	101	1
SPAC227.01c	108	832	22	100	1578	300	1.08	53.6272210979816	0.527249683143219	26.1804956775576	0.105665539078729	0.159334322558649	2.04836538461538	1.66740220666235	2.51429560997548	71	137	0.00409964239256769
SPAC227.19c	77	29	93	100	31	300	0.77	38.2342224494869	0.935483870967742	46.4512966499841	1.70106665461797	4.16413412711601	0.823103448275862	0.527330662931572	1.29088157940596	85	92	1
SPAC227.02c	41	694	426	100	455	300	0.41	20.358482083493	1.52527472527473	75.7372638217322	0.0425357197507397	0.0817484993682078	0.268804034582133	0.193537524865866	0.371955672125345	85	56	1
SPAC227.03c	154	1635	105	100	1473	300	1.54	76.4684448989738	1.10997963340122	55.1158548283925	0.0795580910842982	0.111456843618286	1.3874128440367	1.17189068167171	1.64175930649735	133	121	1
SPAC227.07c	108	5314	239	100	2169	300	1.08	53.6272210979816	2.44997694790226	121.653199509364	0.0167166086964381	0.0246872870814502	0.440820474219044	0.362583242625741	0.535467256796655	147	61	1
SPAC227.08c	152	2405	371	100	757	300	1.52	75.4753482119741	3.17701453104359	157.754130266458	0.0534548638456365	0.0746872486154639	0.47843659043659	0.404653319311468	0.565382472019062	191	61	1
SPAC227.11c	50	866	82	100	2906	300	0.5	24.8274171749915	0.298004129387474	14.7973456803459	0.0429403648848152	0.0774176961139662	1.67782909930716	1.24784700355273	2.24975824907186	34	116	1
SPAC227.13c	99	5515	497	100	1335	300	0.99	49.1582860064831	4.1310861423221	205.128398082514	0.0146374541938259	0.0219926074589462	0.239646418857661	0.195410013487575	0.293601309576931	160	39	1
SPAC227.16c	41	1042	41	100	897	300	0.41	20.358482083493	1.16164994425864	57.6815355548297	0.0284188044138232	0.0542741581255272	0.352946257197697	0.254916675591994	0.486839198385979	75	66	1
SPAC227.17c	145	1421	64	100	815	300	1.45	71.9995098074753	1.74355828220859	86.5760976826083	0.0856818381719092	0.121457690521078	0.831632653061225	0.69830698110106	0.989880177746788	155	90	1
SPAC2F7.02c	247	3682	199	100	1722	300	2.47	122.647440844458	2.13821138211382	106.17253198411	0.0588453536574967	0.0764551861961714	1.1551711026616	1.01331698998209	1.31655830629807	236	111	1
SPAC2F7.03c	476	8515	136	100	3553	300	4.76	236.357011505919	2.3965662820152	119.001101742219	0.0509148297417814	0.0613705636308973	1.98617498532002	1.80900390072549	2.18049612580578	406	170	2.7295844090536e-07
SPAC2F7.05c	279	10576	463	100	1489	300	2.79	138.536987836452	7.10275352585628	352.686049755151	0.0233797924106155	0.0297600429661014	0.392805408472012	0.348125108994064	0.44312703976525	332	47	1
SPAC2F7.06c	2	25	1507	100	1757	300	0.02	0.993096686999659	0.0142287990893569	0.706528661781203	0.0131043842240231	0.346856126123875	1.4056	0.230244030816086	6.09426213599648	1	101	1
SPAC2F7.07c	389	5117	144	100	1952	300	3.89	193.157305621434	2.62141393442623	130.165874676672	0.0684791502392967	0.0843832397252494	1.48393199140121	1.33671301267107	1.64716083943687	353	136	1
SPAC2F7.08c	43	2461	248	100	1605	300	0.43	21.3515787704927	1.53333333333333	76.1374126699739	0.0127643218867303	0.0238329557854282	0.280434782608696	0.204867366282021	0.382518940356123	86	57	1
SPAC2F7.09c	24	767	55	100	1587	300	0.24	11.9171602439959	0.483301827347196	23.9982721779691	0.0203685570136619	0.0476642212621436	0.496584093872229	0.323248999806815	0.756431191430219	40	84	1
SPAC2F7.13c	303	4032	51	100	1468	300	3.03	150.454148080448	2.74659400544959	136.381670367256	0.0667477626551487	0.0845919565051469	1.10318452380952	0.979857155777583	1.24180992149556	295	108	1
SPAC2F7.14c	13	1532	259	100	1154	300	0.13	6.45512846549778	1.32755632582322	65.9195894490242	0.00470749787692674	0.0149694688717708	0.0979242819843342	0.0543245254997346	0.172747670780234	64	49	1
SPAC2F7.16c	18	2954	17	100	4189	300	0.18	8.93787018299693	0.705180233946049	35.0156077034733	0.00371799412284106	0.00985518992272296	0.255253893026405	0.155746773805812	0.412833905862865	48	70	1
SPAC13A11.01c	594	4002	16	100	3460	300	5.94	294.949716038899	1.15664739884393	57.433134990934	0.136037943811629	0.161931581616097	5.13553223388306	4.70691285588236	5.60283272391695	372	322	1.04735626495121e-62
SPAC13A11.02c	836	7280	502	100	2318	300	8.36	415.114415165858	3.14063848144953	155.947883549558	0.106831620826809	0.123433595592072	2.66187912087912	2.47635697076544	2.86119074582422	709	227	3.54387716635491e-20
SPAC13A11.04c	14	902	60	100	1927	300	0.14	6.95167680899761	0.468085106382979	23.242688419141	0.00879455071514433	0.0268704894484457	0.299090909090909	0.169470992280831	0.517794331671548	36	78	1
SPNCRNA.662	41	694	7	100	3021	300	0.41	20.358482083493	0.22972525653757	11.4069695593804	0.0425357197507397	0.0817484993682078	1.78474063400576	1.28500409366985	2.46962216591356	26	115	1
SPNCRNA.553	41	609	41	100	2233	300	0.41	20.358482083493	0.272727272727273	13.5422275499954	0.048409564798826	0.0932812983833938	1.50333333333333	1.08098558195779	2.08297139290118	30	111	1
SPNCRNA.663	0	525	151	100	1602	300	0	0	0.327715355805243	16.2726517064551	0.000173197686248583	0.00913815255898585	0	0.0027746269337023	0.146393203994953	24	76	1
SPAC3H8.05c	84	2948	68	100	3425	300	0.84	41.7100608539857	0.860729927007299	42.7394019456204	0.0227934159653765	0.035574378305569	0.975915875169606	0.780674496814145	1.21842245696574	85	99	1
SPNCRNA.664	5	71	245	100	234	300	0.05	2.48274171749915	0.303418803418803	15.0662104224307	0.0250866719158234	0.181175045858876	0.164788732394366	0.0587028122830268	0.42394960730977	24	81	1
SPNCRNA.665	4	9	37	100	1108	300	0.04	1.98619337399932	0.00812274368231047	0.403333492012497	0.115554998947778	1.57169221691214	4.92444444444444	1.28034938834138	17.4143497633865	0	104	1
SPAC3H8.07c	95	714	26	100	492	300	0.95	47.1720926324838	1.45121951219512	72.0600644835119	0.106766359765822	0.165646692998551	0.654621848739496	0.525290490047842	0.814981729552872	115	80	1
SPAC3H8.08c	33	1206	63	100	1955	300	0.33	16.3860953354944	0.616879795396419	30.6310640542606	0.0190459544902044	0.0391065602137184	0.534950248756219	0.372348410283495	0.764533252178195	50	83	1
SPAC3H8.09c	0	1640	74	100	3230	300	0	0	0.507739938080495	25.2117425182576	5.54284241855554e-05	0.00292189272051936	0	0.00179033810119344	0.0943771348727752	33	67	1
SPNCRNA.667	54	84	105	100	204	300	0.54	26.8136105489908	0.411764705882353	20.4461082617577	0.450293014038295	0.916701407580836	1.31142857142857	0.918597748638122	1.87007087146491	44	110	1
SPAC1F3.02c	54	2630	21	100	3740	300	0.54	26.8136105489908	0.703208556149733	34.9177043691057	0.0155281616619597	0.027081141131713	0.767908745247148	0.580753246157294	1.01283467832607	63	91	1
SPAC1F3.04c	130	821	79	100	966	300	1.3	64.5512846549778	0.849896480331263	42.2014689454824	0.131007948772896	0.191265871174048	1.52959805115713	1.26553678514618	1.8476283155413	105	125	1
SPAC1F3.06c	113	3694	71	100	5959	300	1.13	56.1099628154807	0.619902668232925	30.7811643042183	0.0252494000203745	0.0370302269014422	1.82286681104494	1.50461174721411	2.20663122105694	81	132	0.0697243428298355
SPAC1F3.07c	137	1305	230	100	1343	300	1.37	68.0271230594767	0.971705137751303	48.2498576520683	0.0876767249204033	0.125626518180864	1.40989272030651	1.17749841568102	1.68716413916901	116	121	1
SPAC1F3.08c	2	0	232	100	126	300	0.02	0.993096686999659	0	0	0.246676758328458	19.4460633145857	NA	0.310812715493857	24.502039776378	0	102	1
SPNCRNA.669	23	83	9	100	886	300	0.23	11.4206119004961	0.0936794582392776	4.65163798086748	0.169860696994665	0.448688299213722	2.45518072289157	1.50496577537273	3.97537833103357	10	113	1
SPAC1F3.10c	15	1445	58	100	4258	300	0.15	7.44822515249744	0.339361202442461	16.8509242920914	0.00601349983542334	0.0176104078840304	0.442006920415225	0.256054822992326	0.749851167702012	29	86	1
SPAC1D4.02c	128	3609	28	100	1921	300	1.28	63.5581879679782	1.87870900572618	93.2869844711549	0.0296114010589784	0.042451521464607	0.681318924909947	0.568835014342974	0.8154937273351	148	80	1
SPAC1D4.03c	18	471	328	100	1502	300	0.18	8.93787018299693	0.31358189081225	15.5708568434367	0.0231342553449683	0.0623152188158122	0.574012738853503	0.347476515281423	0.935974586613499	28	90	1
SPNCRNA.670	18	616	53	100	735	300	0.18	8.93787018299693	0.838095238095238	41.6154802171286	0.0177277783688621	0.0475387631324678	0.214772727272727	0.130299171011136	0.349409909023638	53	65	1
SPAC1D4.05c	63	2512	369	100	3266	300	0.63	31.2825456404893	0.769136558481323	38.1913484039061	0.019366790672036	0.0324132941052644	0.819100318471338	0.632519383348696	1.05861818547793	70	93	1
SPAC1D4.06c	6	325	66	100	1057	300	0.06	2.97929006099898	0.307473982970672	15.2675696913382	0.00744478709108577	0.0427516194193731	0.195138461538462	0.0786913995527766	0.451884617262774	24	82	1
SPAC1D4.07c	2	23	203	100	316	300	0.02	0.993096686999659	0.0727848101265823	3.61411769003041	0.0141770511003493	0.379382372512883	0.274782608695652	0.0447994814771039	1.19884829714071	6	96	1
SPAC1D4.09c	373	1782	41	100	847	300	3.73	185.212532125436	2.1038961038961	104.468612528536	0.186908476530964	0.234380366923943	1.7729012345679	1.58311479621727	1.9852017078458	320	153	0.00327916936940644
SPAC1D4.11c	94	7068	118	100	3901	300	0.94	46.675544288984	1.81184311714945	89.9667698502127	0.010790159425865	0.0163742348945059	0.518808715336729	0.420924119202994	0.638758903234675	125	69	1
SPNCRNA.672	0	429	69	100	3202	300	0	0	0.133978763272954	6.65269329673413	0.0002119752990214	0.0111873756625896	0	0.00678744907466521	0.35821976871612	11	89	1
SPNCRNA.673	5	6	0	100	294	300	0.05	2.48274171749915	0.0204081632653061	1.01336396632618	0.221566015070826	3.07129898399964	2.45	0.651404084308229	9.02961901295894	2	103	1
SPNCRNA.674	34	127	16	100	1636	300	0.34	16.8826436789942	0.0776283618581907	3.85462344892899	0.179993055983573	0.396522675602478	4.37984251968504	2.94468639589126	6.48711097285654	9	125	5.10308970620568e-06
SPAC22F3.13	127	2460	10	100	4075	300	1.27	63.0616396244784	0.603680981595092	29.9756791413394	0.0430098462973973	0.061926218083099	2.10376016260163	1.75265123661894	2.52349338688628	85	142	0.000197970000803573
SPNCRNA.675	2	129	11	100	1709	300	0.02	0.993096686999659	0.0754827384435342	3.74808287369678	0.00265583200912797	0.0634183191260096	0.264961240310078	0.0453881690359971	1.0838190738635	7	95	1
SPNCRNA.676	1	67	48	100	476	300	0.01	0.49654834349983	0.140756302521008	6.98923088539676	0.000768718145976326	0.0990451196584708	0.071044776119403	0.00365909837484731	0.471454769574321	12	89	1
SPAC22F3.04	0	11	3	100	4373	300	0	0	0.00251543562771553	0.12490353941226	0.00843437698064696	0.473726222726494	0	0.368835305363691	20.7160477198296	0	100	1
SPAC22F3.02	18	280	10	100	2772	300	0.18	8.93787018299693	0.101010101010101	5.01563983333161	0.038669099593225	0.105510396564015	1.782	1.0719074407242	2.92474819275448	10	108	1
SPAC1296.01c	18	2171	80	100	2107	300	0.18	8.93787018299693	1.03037494067394	51.1630969975382	0.00505617470038388	0.0134171212869644	0.174693689543989	0.106533600937088	0.282698745516341	59	59	1
SPAC1296.03c	11	496	47	100	1536	300	0.11	5.46203177849813	0.322916666666667	16.034373592182	0.0115821157360496	0.0413116311511633	0.340645161290323	0.177901297705722	0.634546654481868	27	84	1
SPAC1296.05c	4	341	41	100	846	300	0.04	1.98619337399932	0.403073286052009	20.0145372498158	0.00373443098690641	0.0324862365890507	0.0992375366568915	0.0315932861492283	0.274833561543369	29	75	1
SPAPJ696.01c	45	3323	93	100	4351	300	0.45	22.3446754574923	0.763732475293036	37.9230095483782	0.00997185767640792	0.018329443596839	0.589211555823051	0.433875527500509	0.797514090898464	62	83	1
SPAC22G7.01c	52	1927	40	100	2181	300	0.52	25.8205138619911	0.883539660706098	43.8720154940015	0.0202771504011505	0.0358168537338403	0.58854177477945	0.442244650249092	0.781165579935057	71	81	1
SPNCRNA.677	22	493	3	100	2412	300	0.22	10.9240635569963	0.204394693200663	10.1491846328945	0.0283822902690397	0.0694928796018444	1.07634888438134	0.684580841289237	1.67616825599649	20	102	1
SPNCRNA.678	17	209	31	100	2184	300	0.17	8.4413218394971	0.0956959706959707	4.75176757286925	0.0479588210785313	0.136059633970569	1.77645933014354	1.04742065235512	2.97154240591722	10	107	1
SPAC22G7.06c	243	23155	134	100	6746	300	2.43	120.661247470459	3.43240438778535	170.435471297636	0.00922885483059707	0.0119305863322614	0.707958540272079	0.622578546872078	0.804837353974356	265	78	1
SPAC22G7.07c	4	276	11	100	2098	300	0.04	1.98619337399932	0.131553860819828	6.53228516710929	0.00460720816262495	0.0402029521053738	0.304057971014493	0.0966592272518714	0.843457935170742	12	92	1
SPAC22G7.09c	19	2501	83	100	1558	300	0.19	9.43441852649676	1.60526315789474	79.7090761933937	0.00469928918381525	0.0121325214375153	0.118360655737705	0.0732149254838416	0.189024683996488	73	46	1
SPAC22G7.11c	24	88	8	100	459	300	0.24	11.9171602439959	0.191721132897603	9.51988109542157	0.169144366112418	0.436643575054062	1.25181818181818	0.776372640455999	2.00419400949814	19	105	1
SPAC4G8.02c	101	1018	752	100	430	300	1.01	50.1513826934828	2.36744186046512	117.554933414611	0.0804194833934822	0.122287321321083	0.426620825147348	0.345803778591974	0.525835481680656	141	60	1
SPAC4G8.03c	4	824	52	100	4780	300	0.04	1.98619337399932	0.172384937238494	8.55974550300961	0.00155106176462067	0.013389020960754	0.232038834951456	0.074140752348868	0.639995201924041	15	89	1
SPAC4G8.06c	65	1677	268	100	1097	300	0.65	32.2756423274889	1.52871467639015	75.908074024541	0.0300032446096573	0.0499777916770871	0.425193798449612	0.32913559336794	0.548256374697645	99	66	1
SPAC4G8.07c	78	1454	477	100	1707	300	0.78	38.7307707929867	0.85178676039836	42.2953304890892	0.0424199402363737	0.0677448417219125	0.915722145804677	0.7241083798349	1.15640444819305	81	97	1
SPNCRNA.682	10	4	6	100	145	300	0.1	4.9654834349983	0.0275862068965517	1.36978853379263	0.724232255837934	9.4364946705636	3.625	1.050136770965	13.6829172723172	2	108	1
SPNCRNA.683	7	283	3	100	2330	300	0.07	3.47583840449881	0.121459227467811	6.03103782019106	0.0107314986627551	0.0540052693626484	0.576325088339223	0.250043918842194	1.25832277614971	11	96	1
