Isk1as_3MBPP1r2_pr_counts	Isk1as_3MBPP1r2gb_counts	Isk1as_3MBPP1r2term_counts	Isk1as_3MBPP1r2pr_map	Isk1as_3MBPP1r2gb_map	Isk1as_3MBPP1r2term_map	Isk1as_3MBPP1r2pr_density	Isk1as_3MBPP1r2pr_densityRPKM	Isk1as_3MBPP1r2gb_density	Isk1as_3MBPP1r2gb_densityRPKM	Isk1as_3MBPP1r2pause_index_CI_low	Isk1as_3MBPP1r2pause_index_CI_high	Isk1as_3MBPP1r2pause_index_scaled	Isk1as_3MBPP1r2pause_index_CI_low_scaled	Isk1as_3MBPP1r2pause_index_CI_high_scaled	Isk1as_3MBPP1r2_ExpPR	Isk1as_3MBPP1r2_ExpGB	Isk1as_3MBPP1r2Fexact_Pval
SPAC3A12.08	14	75	19	100	884	300	0.14	67.8571065051215	0.084841628959276	41.1221960882685	0.100982813305048	0.339174275245209	1.65013333333333	0.892688069616627	2.99830059316765	8	106	1
SPAC3A12.10	39	80	68	100	415	300	0.39	189.030510978553	0.192771084337349	93.4349142927663	0.326497879689004	0.72600815945886	2.023125	1.35496620070936	3.01293386175427	22	117	1
SPAC3A12.12	7	31	17	100	964	300	0.07	33.9285532525608	0.0321576763485477	15.5866204924331	0.0907828790888719	0.535887537225797	2.17677419354839	0.875146954416725	5.16595585885668	3	104	1
SPAC3A12.14	6	228	52	100	1284	300	0.06	29.0816170736235	0.177570093457944	86.0670910278577	0.0105762062677405	0.0611644023237646	0.337894736842105	0.135798488477788	0.785350925837137	15	91	1
SPAC3A12.15	14	173	16	100	2566	257	0.14	67.8571065051215	0.0674201091192518	32.6780966077999	0.0450292190763603	0.14276509653919	2.07653179190751	1.1554497614994	3.6633523771956	7	107	1
SPSNORNA.48	0	0	2	100	10	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC3A12.18	43	577	107	100	1840	300	0.43	208.418255694302	0.313586956521739	151.993596480804	0.0539623092179019	0.102566442055627	1.37123050259965	0.992906489609396	1.88722253382355	34	109	1
SPAC9.05	20	154	1	100	5265	300	0.2	96.938723578745	0.0292497625830959	14.1771732489333	0.0791387540645567	0.21089892053221	6.83766233766234	4.16665540149891	11.1038281660209	3	117	3.77180031288787e-06
SPNCRNA.742	2	364	506	100	1452	300	0.02	9.6938723578745	0.25068870523416	121.507215505039	0.000947955843117656	0.0222720255020806	0.0797802197802198	0.0137643188420684	0.32338981029021	20	82	1
SPAC9.09	317	4013	539	100	2575	300	3.17	1536.47876872311	1.55844660194175	755.369121789328	0.0703365053189787	0.0887005516155026	2.03407675056068	1.8111650119637	2.28403920409919	254	163	1.0323091145727e-06
SPNCRNA.171	36	14	11	100	123	300	0.36	174.489702441741	0.113821138211382	55.1683792724565	1.34131821985829	4.99901466101808	3.16285714285714	1.6498214104257	6.14878803305224	13	123	1
SPAC9.10	36	149	9	100	3048	285	0.36	174.489702441741	0.0488845144356955	23.6940121608153	0.16502089724839	0.352351591357508	7.36429530201342	5.02983694813091	10.7396765045768	6	130	1.43752109867156e-12
SPAC9.11	10	102	17	100	2103	300	0.1	48.4693617893725	0.0485021398002853	23.5086776153875	0.0482376014868555	0.193294763657277	2.06176470588235	1.01443675926857	4.06498887971254	5	105	1
SPAC5D6.10c	0	9	4	100	1142	300	0	0	0.00788091068301226	3.81982711124652	0.0103569347612096	0.590306163886248	0	0.118276194973013	6.74129639158095	0	100	1
SPAC5D6.09c	1	335	57	100	3201	300	0.01	4.84693617893725	0.104654795376445	50.7255114009365	0.000155401299635166	0.0194715534148071	0.0955522388059701	0.00497439560132167	0.623284424807976	9	92	1
SPAC5D6.08c	13	49	8	100	1000	300	0.13	63.0101703261843	0.049	23.7499872767925	0.137089407484169	0.504323686627043	2.6530612244898	1.37089407484169	5.04323686627043	5	108	1
SPAC5D6.07c	7	37	17	100	1611	300	0.07	33.9285532525608	0.0229671011793917	11.1320073631706	0.0770802406679355	0.442389864639154	3.04783783783784	1.24176267716044	7.12690071933678	2	105	1
SPAC5D6.06c	2	58	7	100	957	300	0.02	9.6938723578745	0.0606060606060606	29.3753707814379	0.00582839169848962	0.143495553135204	0.33	0.0557777085545456	1.3732524435039	5	97	1
SPAC5D6.02c	2	59	2	100	1614	300	0.02	9.6938723578745	0.0365551425030979	17.7180442724472	0.00573195183624123	0.14098889810648	0.547118644067797	0.0925137026369334	2.27556081543859	3	99	1
SPAC57A7.10c	23	562	43	100	3025	300	0.23	111.479532115557	0.185785123966942	90.0488638863714	0.0263259909971728	0.0630516219532699	1.23798932384342	0.796361227664477	1.90731156408641	19	104	1
SPNCRNA.174	2	5	3	100	718	300	0.02	9.6938723578745	0.00696378830083565	3.37530374577803	0.0538788235081954	2.30512923539502	2.872	0.386849952788843	16.5508279101362	0	102	1
SPAC57A7.07c	0	53	13	100	1211	300	0	0	0.0437654830718415	21.2128503289574	0.00172214121145853	0.0919284576549814	0	0.0208551300707628	1.11325362220182	4	96	1
SPNCRNA.744	6	14	13	100	652	300	0.06	29.0816170736235	0.0214723926380368	10.4075316725646	0.147303254432612	1.18965535934529	2.79428571428571	0.960417218900629	7.75655294293132	2	104	1
SPAC57A7.04c	2	1442	78	100	4286	300	0.02	9.6938723578745	0.336444237050863	163.072374475677	0.000239995321103456	0.00560113405503102	0.0594452149791956	0.0102861994624941	0.24006460559863	25	77	1
SPAC167.07c	9	256	16	100	3598	300	0.09	43.6224256104353	0.0711506392440245	34.4862607506375	0.0169458487669501	0.0702893914536447	1.264921875	0.609711638634864	2.52901230450214	7	102	1
SPAC167.06c	5	21	12	100	612	300	0.05	24.2346808946863	0.0343137254901961	16.6316437512553	0.0788096715967451	0.666201688729767	1.45714285714286	0.48231519017208	4.07715433502618	3	102	1
SPAC167.03c	26	164	5	100	2731	300	0.26	126.020340652369	0.0600512632735262	29.106464055134	0.102448394298116	0.243640362551574	4.32963414634146	2.79786564828155	6.65381830128347	7	119	0.000186078368211316
SPAC167.09	0	41	7	100	1373	300	0	0	0.0298616168973052	14.4737351301112	0.00222893830759859	0.119437073139709	0	0.0306033229633286	1.63987101420821	2	98	1
SPNCRNA.555	0	3	0	100	1886	300	0	0	0.00159066808059385	0.7709866668511	0.0327971598819604	2.22593021867193	0	0.618554435373773	41.9810439241527	0	100	1
SPAC1705.02	40	57	34	100	435	300	0.4	193.87744715749	0.131034482758621	63.5115775171088	0.459411623377883	1.07026709876045	3.05263157894737	1.99844056169379	4.65566187960794	16	124	0.0193383931634903
SPNCRNA.175	0	0	11	100	494	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC23H4.18c	6	81	13	100	780	300	0.06	29.0816170736235	0.103846153846154	50.3335680120407	0.0291724858412503	0.176024645688982	0.577777777777778	0.227545389561752	1.37299223637406	9	97	1
SPAC23H4.17c	15	77	20	100	1167	300	0.15	72.7040426840588	0.065981148243359	31.9806414548559	0.107546932988825	0.34747163268226	2.27337662337662	1.25507270797958	4.05499395340198	7	108	1
SPAC23H4.16c	17	178	44	100	1104	300	0.17	82.3979150419333	0.161231884057971	78.1480652038796	0.0561151764617982	0.160333293861108	1.05438202247191	0.619511548138252	1.77007956422664	16	101	1
SPAC23H4.13c	2	109	29	100	1463	300	0.02	9.6938723578745	0.0745044429254956	36.111827990715	0.00313680274309221	0.0752484663421928	0.268440366972477	0.045891424131439	1.10088506258628	7	95	1
SPAC23H4.11c	6	22	41	100	919	300	0.06	29.0816170736235	0.0239390642002176	11.6031116361936	0.099238444329978	0.708298164460976	2.50636363636364	0.912001303392497	6.50926013139637	2	104	1
SPAC23H4.10c	16	167	23	100	3116	300	0.16	77.550978862996	0.053594351732991	25.9768402401322	0.055310066833074	0.163486398786878	2.98538922155689	1.72346168251859	5.09423618619912	5	111	1
SPAC23H4.07c	7	41	9	100	638	300	0.07	33.9285532525608	0.0642633228840125	31.1480224665247	0.0700346443555606	0.396238396903841	1.08926829268293	0.446821030988477	2.5280009722465	6	101	1
SPAC23H4.05c	2	51	39	100	840	300	0.02	9.6938723578745	0.0607142857142857	29.4278268006905	0.00660646829335149	0.16389065168521	0.329411764705882	0.0554943336641525	1.37668147415577	5	97	1
SPNCRNA.746	9	8	4	100	288	300	0.09	43.6224256104353	0.0277777777777778	13.463711608159	0.39926396508856	3.19159887951285	3.24	1.14988021945505	9.19180477299701	2	107	1
SPAC23H4.03c	10	102	21	100	931	300	0.1	48.4693617893725	0.109559613319012	53.1028453546294	0.0482376014868555	0.193294763657277	0.912745098039216	0.449092069842625	1.79957424964925	10	100	1
SPAC23H4.01c	17	418	38	100	2986	300	0.17	82.3979150419333	0.139986604152713	67.8506136234351	0.0242238798750288	0.0673206528982887	1.2144019138756	0.723325053068361	2.0101946955429	14	103	1
SPAP27G11.02	8	49	13	100	1013	300	0.08	38.775489431498	0.0483711747285291	23.4451996809403	0.0715518456824409	0.35774387019941	1.65387755102041	0.724820196763126	3.62394540512002	4	104	1
SPAP27G11.03	11	61	16	100	1061	300	0.11	53.3162979683098	0.057492931196984	27.8664568251812	0.0897282157084228	0.353527162469359	1.91327868852459	0.952016368666366	3.7509231937999	6	105	1
SPNCRNA.749	11	41	37	100	810	300	0.11	53.3162979683098	0.0506172839506173	24.5338744859787	0.130148846618585	0.540516742258535	2.17317073170732	1.05420565761054	4.37818561229413	5	106	1
SPAP27G11.16	20	15	27	100	64	300	0.2	96.938723578745	0.234375	113.600066693842	0.653375730530836	2.73669367941597	0.853333333333333	0.418160467539735	1.75148395482622	22	98	1
SPAP27G11.12	9	287	22	100	2564	300	0.09	43.6224256104353	0.111934477379095	54.253926807917	0.0151355751889388	0.06260896905352	0.80404181184669	0.388076147844391	1.60529396653225	10	99	1
SPAP27G11.15	0	38	7	100	2556	300	0	0	0.014866979655712	7.20593015647948	0.00240594623539958	0.129094305004205	0	0.0614959857768133	3.29965043590747	1	99	1
SPAC343.02	7	42	26	100	1045	300	0.07	33.9285532525608	0.0401913875598086	19.4805090445325	0.0684701417020486	0.386161793921163	1.74166666666667	0.715512980786407	4.03539074647615	4	103	1
SPAC343.03	9	17	2	100	1178	300	0.09	43.6224256104353	0.0144312393887946	6.99472963004527	0.218666934512536	1.25403133384207	6.23647058823529	2.57589648855767	14.7724891126596	1	108	0.884032252653914
SPAC343.05	21	365	25	100	1993	300	0.21	101.785659757682	0.18314099347717	88.7672707131007	0.0360766206470158	0.0908225677834906	1.14665753424658	0.719007049495025	1.81009377592497	18	103	1
SPAC343.07	2	3	5	100	1786	300	0.02	9.6938723578745	0.00167973124300112	0.814155013259337	0.0782648165603505	4.86773260028688	11.9066666666667	1.39780962376786	86.9377042411236	0	102	1
SPAC343.09	14	153	20	100	1564	300	0.14	67.8571065051215	0.0978260869565217	47.4156800113427	0.0507689425549672	0.161912839084078	1.43111111111111	0.794026261559687	2.53231680327497	10	104	1
SPAC343.10	21	254	19	100	2034	300	0.21	101.785659757682	0.124877089478859	60.5271282915468	0.0515530477874475	0.131265390676656	1.68165354330709	1.04858899199668	2.66993804636317	13	108	1
SPAC343.21	0	45	35	100	2391	300	0	0	0.0188205771643664	9.12221363664476	0.00202982372305869	0.108604324102592	0	0.0485330852183332	2.59672938929297	1	99	1
SPAC343.12	20	263	48	100	1728	300	0.2	96.938723578745	0.152199074074074	73.769919853038	0.0469040182446936	0.121960607435734	1.31406844106464	0.810501435268305	2.10747929648948	15	105	1
SPAC343.13	4	23	4	100	1727	300	0.04	19.387744715749	0.013317892298784	6.45509740101661	0.0510340464290798	0.529307342558426	3.00347826086956	0.881357981830209	9.14113780598401	1	103	1
SPAC343.15	96	141	74	100	1621	300	0.96	465.305873177976	0.0869833436150524	42.1602715132728	0.52099593592398	0.889360657510674	11.0365957446809	8.44534412132772	14.416536258248	15	181	1.95480744852333e-39
SPAC343.16	45	289	54	100	2117	300	0.45	218.112128052176	0.136513934813415	66.1674329576224	0.112257890663163	0.215325695900047	3.29636678200692	2.37649954533916	4.558444982204	17	128	3.00631549470366e-05
SPAC343.18	9	62	13	100	1097	300	0.09	43.6224256104353	0.056517775752051	27.3938052045679	0.0673996775117521	0.302058368216497	1.59241935483871	0.73937446230392	3.31358029933497	5	104	1
SPAC343.19	78	277	40	100	2499	300	0.78	378.061021957106	0.110844337735094	53.7255430798567	0.217252195008627	0.364544456391137	7.03689530685921	5.4291323532656	9.10996596521452	17	161	7.44105183485496e-25
SPAC824.02	16	343	19	100	3977	300	0.16	77.550978862996	0.0862459140055318	41.8028440878923	0.0272705491444658	0.0785668396456461	1.85516034985423	1.08454973947541	3.12460321270735	9	107	1
SPAC824.04	4	76	23	100	1240	300	0.04	19.387744715749	0.0612903225806452	29.7070281934864	0.0164028074013098	0.149328469928046	0.652631578947368	0.203394811776241	1.85167302710777	6	98	1
SPAC824.05	7	184	22	100	2839	300	0.07	33.9285532525608	0.0648115533638605	31.4137462812418	0.0164184013420691	0.0835364363682975	1.08005434782609	0.466118414101342	2.37159942849597	6	101	1
SPAC824.06	11	96	118	100	1283	300	0.11	53.3162979683098	0.0748246297739673	36.2670205127027	0.0581469937016456	0.219991347467313	1.47010416666667	0.746025929192114	2.82248898800563	7	104	1
SPAC824.07	62	128	84	100	1051	300	0.62	300.51004309411	0.121788772597526	59.0302408091311	0.353582735238193	0.662688228147585	5.09078125	3.71615454735341	6.96485327783112	17	145	7.53388073395901e-13
SPAC824.08	34	271	59	100	2092	300	0.34	164.795830083867	0.129541108986616	62.7877487806881	0.0863426261916377	0.181443105155035	2.62464944649447	1.80628773992906	3.79578975984333	15	119	0.0835591256645727
SPNCRNA.177	0	8	13	100	228	300	0	0	0.0350877192982456	17.0067936103061	0.0116892782926356	0.673070909790981	0	0.0266515545072091	1.53460167432344	3	97	1
SPAC664.03	28	102	14	100	1360	300	0.28	135.714213010243	0.075	36.3520213420294	0.176657551820173	0.424181761647322	3.73333333333333	2.40254270475436	5.76887195840358	8	120	0.00217412281295346
SPAC664.05	79	516	226	100	664	300	0.79	382.907958136043	0.77710843373494	376.659498242714	0.11992928335102	0.195193403703394	1.01658914728682	0.79633044145077	1.29608420059053	78	101	1
SPSNORNA.31	250	117	215	100	87	300	2.5	1211.73404473431	1.3448275862069	651.829348201906	1.70602063952607	2.67759991698247	1.85897435897436	1.48423795638768	2.32951192777475	200	150	1
SPAC664.06	250	628	77	100	937	300	2.5	1211.73404473431	0.670224119530416	324.853353294834	0.342869777810777	0.462118801031017	3.73009554140127	3.21268981808698	4.33005316566063	140	210	6.1648907184998e-23
SPAC664.09	25	305	32	100	2393	300	0.25	121.173404473431	0.127455077308817	61.7766625397351	0.0532919230664072	0.125100711520509	1.96147540983607	1.27527571897913	2.99366002668578	14	111	1
SPAC664.10	22	192	25	100	2776	300	0.22	106.63259593662	0.069164265129683	33.5234778946669	0.0717826880322415	0.181232287677685	3.18083333333333	1.99268741977502	5.03100830593253	7	115	0.133845546889868
SPAC664.11	206	935	115	100	2292	300	2.06	998.468852861074	0.407940663176265	197.72623592087	0.188909498437408	0.256880631104206	5.04975401069519	4.32980570418539	5.8877040649084	88	218	8.88914454940655e-36
SPAC664.13	7	8	10	100	310	300	0.07	33.9285532525608	0.0258064516129032	12.5082223972574	0.28660672208444	2.64653671279213	2.7125	0.888480838461763	8.20426380965559	2	105	1
SPAC664.14	157	422	25	100	2000	300	1.57	760.968980093148	0.211	102.270353375576	0.308422482919073	0.448607060621701	7.44075829383886	6.16844965838147	8.97214121243401	44	213	3.03949449054203e-44
SPAC664.15	4	320	19	100	2511	300	0.04	19.387744715749	0.127439267224213	61.7689994926292	0.0039778888912543	0.0346339965998303	0.313875	0.0998847900593954	0.869659654621738	11	93	1
SPAC17A5.01	7	174	18	100	3069	300	0.07	33.9285532525608	0.0566959921798631	27.4801855697322	0.0173469643425328	0.0884197736026196	1.23465517241379	0.532378335672332	2.7136028518644	5	102	1
SPNCRNA.759	3	7	6	100	408	300	0.03	14.5408085368118	0.017156862745098	8.31582187562764	0.0880775067426534	1.82748877281164	1.74857142857143	0.359356227510026	7.4561541930715	1	102	1
SPAC17A5.03	90	112	90	100	232	300	0.9	436.224256104353	0.482758620689655	233.990022431453	0.603239272358626	1.07010000108858	1.86428571428571	1.39951511187201	2.48263200252551	61	129	1
SPNCRNA.556	0	1	9	100	649	300	0	0	0.00154083204930663	0.746831460545031	0.120791776113059	17.3080587281839	0	0.783938626973752	112.329301145914	0	100	1
SPAC17A5.19	3	9	76	100	673	300	0.03	14.5408085368118	0.0133729569093611	6.4817868663351	0.071737496193308	1.33450631594981	2.24333333333333	0.482793349380963	8.98122750634222	1	102	1
SPAC17A5.06	56	324	39	100	2570	300	0.56	271.428426020486	0.126070038910506	61.1053432675358	0.128780129286066	0.231474304200309	4.44197530864198	3.30964932265191	5.94888961794794	17	139	4.26367464060959e-11
SPAC17A5.08	1	87	27	100	1048	300	0.01	4.84693617893725	0.0830152671755725	40.2369701877424	0.000593821505306008	0.0759001878886543	0.120459770114943	0.00622324937560696	0.795433969073097	7	94	1
SPAC17A5.10	15	133	261	100	1675	258	0.15	72.7040426840588	0.0794029850746269	38.4861201073823	0.0635788374236507	0.196816152163573	1.8890977443609	1.06494552684615	3.29667054873984	8	107	1
SPAC17A5.11	0	11	29	100	1078	300	0	0	0.0102040816326531	4.94585324381352	0.00843437698064696	0.473726222726494	0	0.0909225838513742	5.10676868099161	1	99	1
SPAC17A5.12	17	136	84	100	1919	300	0.17	82.3979150419333	0.0708702449192288	34.3503554109154	0.0729188971090099	0.211418322168642	2.39875	1.3993136355219	4.05711760241623	7	110	1
SPAC17A5.13	51	219	33	100	708	300	0.51	247.1937451258	0.309322033898305	149.926415704415	0.169637763403731	0.318937841971508	1.64876712328767	1.20103536489841	2.25807992115828	35	116	1
SPAC17A5.14	19	489	20	100	4061	300	0.19	92.0917873998078	0.120413691209062	58.363747636058	0.0238551063453192	0.0625314528340387	1.5778936605317	0.968755868683413	2.53940229959031	12	107	1
SPAC17A5.16	29	293	26	100	3786	300	0.29	140.56114918918	0.0773903856312731	37.5106260018123	0.0662586118827574	0.146947270207695	3.74723549488055	2.5085510458812	5.56342365006332	9	120	0.00043369124702092
SPAC1610.01	7	51	4	100	967	300	0.07	33.9285532525608	0.0527404343329886	25.5629519261427	0.0570098273811183	0.31419493226721	1.32725490196078	0.551285030775414	3.03826499502392	5	102	1
SPNCRNA.762	27	276	15	100	2961	300	0.27	130.867276831306	0.0932117527862209	45.1791416881689	0.0645033030611404	0.147355410546094	2.89663043478261	1.90994280364037	4.36319370626985	10	117	0.0899866916870931
SPAC1610.04	7	120	27	100	1869	300	0.07	33.9285532525608	0.0642054574638844	31.1199754666918	0.0249744299761732	0.129198666711499	1.09025	0.466772096254677	2.41472308083792	6	101	1
SPAC1002.01	24	40	31	100	481	300	0.24	116.326468294494	0.0831600831600832	40.3071615712037	0.350907228400383	1.02144084978298	2.886	1.68786376860584	4.91313048745614	9	115	1
SPAC1002.02	16	87	21	100	837	300	0.16	77.550978862996	0.103942652329749	50.3803402111757	0.103874915341773	0.321048996458487	1.53931034482759	0.86943304141064	2.68718010035753	10	106	1
SPNCRNA.763	1	54	24	100	2281	300	0.01	4.84693617893725	0.0236738272687418	11.4745529882776	0.000950728189351767	0.123527161358272	0.422407407407407	0.0216861099991138	2.81765455058218	2	99	1
SPAC1002.11	7	157	32	100	1871	300	0.07	33.9285532525608	0.0839123463388562	40.6717787329315	0.0191922269518607	0.0981758655304785	0.834203821656051	0.359086566269314	1.83687044407525	8	99	1
SPAC1002.20	2	19	46	100	548	300	0.02	9.6938723578745	0.0346715328467153	16.8050706933956	0.0169524113891639	0.46686156027615	0.576842105263158	0.0928992144126181	2.5584013503133	3	99	1
SPAC1002.14	15	193	51	100	1485	300	0.15	72.7040426840588	0.12996632996633	62.9938506757501	0.044217271545019	0.134340590642799	1.15414507772021	0.656626482443532	1.99495777104556	13	102	1
SPAC1002.18	12	200	21	100	1505	300	0.12	58.163234147247	0.132890365448505	64.4111120124552	0.0319252819014126	0.110126653779717	0.903	0.480475492616259	1.65740613938474	13	99	1
SPAC1002.19	89	581	59	100	1563	300	0.89	431.377319925415	0.371721049264235	180.170820215134	0.121750720206569	0.192523923481059	2.39426850258176	1.90296375682868	3.00914892400896	51	138	0.000115228456471135
SPAC1399.05c	64	128	38	100	1609	300	0.64	310.203915451984	0.0795525170913611	38.5585973215642	0.366257956033192	0.681757039327652	8.045	5.89309051257405	10.9694707627819	12	152	4.63391151726765e-22
SPAC1399.04c	27	137	46	100	612	300	0.27	130.867276831306	0.223856209150327	108.501675901046	0.127536687077523	0.302619912656717	1.20613138686131	0.780524524914439	1.85203386545911	23	104	1
SPNCRNA.178	5	14	0	100	837	300	0.05	24.2346808946863	0.016726403823178	8.10718118340759	0.112619164707253	1.05848657610488	2.98928571428571	0.94262240859971	8.85953264199783	1	104	1
SPAC1399.01c	2	170	13	100	3116	300	0.02	9.6938723578745	0.0545571245186136	26.4434900648053	0.00202067483634557	0.0479604304137122	0.366588235294118	0.0629642279005278	1.49444701169127	5	97	1
SPAP11E10.01	5	124	12	100	1351	87	0.05	24.2346808946863	0.0917838638045892	44.4870530117113	0.0145654028836972	0.10214171965737	0.544758064516129	0.19677859295875	1.37993463257107	8	97	1
SPAPB1A10.02	0	49	63	100	2207	300	0	0	0.0222020842772995	10.7612085531457	0.00186336651256467	0.0995730739938508	0	0.0411244989323022	2.19757774304429	2	98	1
SPNCRNA.181	0	0	5	100	138	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAPB1A10.03	52	19	43	100	234	300	0.52	252.040681304737	0.0811965811965812	39.3554647007726	1.5773546241372	4.79201888790502	6.40421052631579	3.69100982048104	11.2133241976978	11	141	1.09340056872474e-07
SPAPB1A10.16	16	39	41	100	310	300	0.16	77.550978862996	0.125806451612903	60.9775841866299	0.219859168587977	0.757073129265873	1.27179487179487	0.681563422622728	2.34692670072421	12	104	1
SPAPB1A10.05	2	111	27	100	1238	300	0.02	9.6938723578745	0.0896607431340872	43.4579899727007	0.00308100574974267	0.0738705046533977	0.223063063063063	0.0381428511818143	0.914516847609064	8	94	1
SPNCRNA.766	0	58	28	100	1221	300	0	0	0.0475020475020475	23.023939261127	0.00157310823633282	0.0838787505311741	0	0.0192076515656238	1.02415954398564	4	96	1
SPAPB1A10.08	24	305	35	100	1843	300	0.24	116.326468294494	0.165491047205643	80.2124543991243	0.0507165400282906	0.121085908702996	1.45022950819672	0.934705832721396	2.23161329739621	17	107	1
SPAPB1A10.09	30	189	8	100	2338	300	0.3	145.408085368118	0.0808383233532934	39.1818194105706	0.105870610137684	0.236658555650492	3.71111111111111	2.47525486501904	5.53307703110849	9	121	0.000507834223393027
SPAPB1A10.13	3	84	21	100	2947	300	0.03	14.5408085368118	0.0285035629453682	13.815495046852	0.0090286602393918	0.116712405001188	1.0525	0.266074617254876	3.43951457538501	2	101	1
SPAPB1A10.14	12	89	25	100	1368	300	0.12	58.163234147247	0.0650584795321637	31.5334298191093	0.0701859459370957	0.25324828741149	1.84449438202247	0.960143740419469	3.46443657178918	6	106	1
SPAPB1A10.15	10	45	7	100	1120	300	0.1	48.4693617893725	0.0401785714285714	19.4742971475157	0.105183535424343	0.456696089527999	2.48888888888889	1.17805559675264	5.11499620271359	4	106	1
SPAC140.01	100	263	56	100	1131	300	1	484.693617893725	0.232537577365164	112.709479669363	0.299989125721507	0.481577112970173	4.30038022813688	3.39287701191024	5.44663714769266	37	163	5.2819539952818e-16
SPAC140.02	222	962	127	100	1830	300	2.22	1076.01983172407	0.52568306010929	254.795224269816	0.19888196515006	0.267700266393854	4.22307692307692	3.63953996224609	4.89891487500754	110	212	9.20862521937326e-29
SPAC140.03	19	56	8	100	1496	300	0.19	92.0917873998078	0.0374331550802139	18.1436113650058	0.194829366079644	0.585336668174398	5.07571428571429	2.91464731655148	8.75663655588899	4	115	0.00253424642078101
SPNCRNA.182	7	0	13	100	170	300	0.07	33.9285532525608	0	0	1.27756125098771	74.5424319070531	NA	2.17185412667911	126.72213424199	0	107	1
SPAC140.04	7	48	0	100	1566	300	0.07	33.9285532525608	0.0306513409961686	14.8565093607272	0.0603782279264116	0.335014835715109	2.28375	0.945523049327605	5.24633232729861	3	104	1
SPAC110.01	3	1319	68	100	5792	300	0.03	14.5408085368118	0.227727900552486	110.378260014127	0.000586601763273706	0.00725966135993331	0.131736163760425	0.033975974128813	0.420479585967337	19	84	1
SPAC110.02	25	226	234	100	3853	300	0.25	121.173404473431	0.058655593044381	28.429991602383	0.0715077097231512	0.169829271426526	4.26216814159292	2.75519205563301	6.54352182806406	6	119	0.000310691748012108
SPAC110.03	116	489	70	100	1448	300	1.16	562.244596756721	0.337707182320442	163.684515987591	0.192719959892731	0.291794019675152	3.43492842535787	2.79058501924674	4.2251774048962	54	162	3.10551132831617e-13
SPNCRNA.774	2	1	1	100	568	300	0.02	9.6938723578745	0.00176056338028169	0.853333834319939	0.143294171183347	55.6482554667983	11.36	0.81391089232141	316.082091051414	0	102	1
SPAP14E8.02	69	291	31	100	2175	300	0.69	334.43859634667	0.133793103448276	64.8486633595742	0.180753382232451	0.310584303258909	5.15721649484536	3.9313860635558	6.75520859588127	19	150	5.14943342210483e-16
SPAP14E8.03	19	90	53	100	1264	300	0.19	92.0917873998078	0.0712025316455696	34.5114126664836	0.124605476225546	0.353887027874303	2.66844444444444	1.5750132194909	4.4731320323312	7	112	1
SPAP14E8.04	15	94	19	100	1062	300	0.15	72.7040426840588	0.0885122410546139	42.9013183446423	0.0888828649347261	0.281991986952525	1.69468085106383	0.943936025606791	2.99475490143582	9	106	1
SPAC3H1.03	1	40	13	100	743	300	0.01	4.84693617893725	0.053835800807537	26.093869065611	0.00127611792778602	0.168327520214101	0.18575	0.0094815562034501	1.25067347519077	5	96	1
SPAC3H1.05	0	335	64	100	2058	300	0	0	0.162779397473275	78.8981350798824	0.000271494424044341	0.0143350193235221	0	0.00558735524683254	0.295014697678084	13	87	1
SPNCRNA.775	6	3	143	100	72	300	0.06	29.0816170736235	0.0416666666666667	20.1955674122385	0.447546912223926	10.0597133642664	1.44	0.322233776801227	7.24299362227179	4	102	1
SPAC3H1.07	127	695	98	100	990	300	1.27	615.560894725031	0.702020202020202	340.264711551655	0.150535762860939	0.221681017062738	1.80906474820144	1.4903040523233	2.1946420689211	93	134	0.132081511944961
SPNCRNA.776	26	37	6	100	696	300	0.26	126.020340652369	0.0531609195402299	25.7667584225112	0.413301492722346	1.19120494525912	4.89081081081081	2.87657838934753	8.29078641900348	6	120	0.000445136355565531
SPAC3H1.10	0	156	32	100	2111	300	0	0	0.0738986262434865	35.8181925113317	0.000583461492795509	0.0308793979910613	0	0.0123168721129132	0.651864091591304	6	94	1
SPNCRNA.778	3	15	6	100	1085	300	0.03	14.5408085368118	0.0138248847926267	6.70083342710219	0.046101519525487	0.73204421859004	2.17	0.500201486851534	7.94267977170194	1	102	1
SPNCRNA.779	3	7	20	100	703	300	0.03	14.5408085368118	0.00995732574679943	4.82625224076255	0.0880775067426534	1.82748877281164	3.01285714285714	0.619184872400853	12.8472460728658	1	102	1
SPNCRNA.781	9	44	4	100	1304	300	0.09	43.6224256104353	0.0337423312883436	16.3546926283159	0.0931490031031492	0.43464471577696	2.66727272727273	1.21466300046507	5.66776709373155	3	106	1
SPNCRNA.784	0	4	23	100	222	300	0	0	0.018018018018018	8.73321834042748	0.0240893601812892	1.52670069174082	0	0.0534783796024621	3.38927553566462	1	99	1
SPAC3H1.11	27	1091	87	100	3878	300	0.27	130.867276831306	0.281330582774626	136.359137989184	0.0165536327888317	0.036736134111716	0.959725022914757	0.641949879550892	1.42462728085235	27	100	1
SPAC3H1.13	0	40	5	100	1171	300	0	0	0.0341588385994876	16.5565710638335	0.00228497423961751	0.122491520736586	0	0.0267570483459211	1.43437570782542	3	97	1
