Cdk9as_spt5_T1A_1min_3MBPP1_r1_pr_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1term_counts	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1term_map	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_density	Cdk9as_spt5_T1A_1min_3MBPP1_r1pr_densityRPKM	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_density	Cdk9as_spt5_T1A_1min_3MBPP1_r1gb_densityRPKM	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_low	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_high	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_low_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1pause_index_CI_high_scaled	Cdk9as_spt5_T1A_1min_3MBPP1_r1_ExpPR	Cdk9as_spt5_T1A_1min_3MBPP1_r1_ExpGB	Cdk9as_spt5_T1A_1min_3MBPP1_r1Fexact_Pval
SPAC22A12.12c	4	55	4	100	895	300	0.04	38.1328988725055	0.0614525139664804	58.5840625136258	0.0224341146761097	0.208790067569031	0.650909090909091	0.200785326351182	1.86867110474282	6	98	1
SPAC22A12.14c	4	47	3	100	1253	300	0.04	38.1328988725055	0.0375099760574621	35.7591030927326	0.0260887115061924	0.246100574600521	1.0663829787234	0.326891555172591	3.08364019974453	3	101	1
SPAC22A12.15c	25	1373	89	100	2592	300	0.25	238.330617953159	0.529706790123457	504.981386496432	0.011994308323485	0.0274208057956422	0.471959213401311	0.310892471744732	0.710747286223047	43	82	1
SPAC22A12.17c	0	11	0	100	3232	300	0	0	0.00340346534653465	3.24459999688707	0.00843437698064696	0.473726222726494	0	0.27259906401451	15.3108315185203	0	100	1
SPNCRNA.720	0	0	0	100	610	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC4C5.02c	11	132	7	100	2262	300	0.11	104.86547189939	0.0583554376657825	55.6315500792521	0.0426951180885401	0.158385408295629	1.885	0.965763571162777	3.58267793564713	6	105	1
SPNCRNA.722	0	18	0	100	2649	300	0	0	0.00679501698754247	6.47784239057285	0.00511285240857114	0.280011224227739	0	0.135439460303049	7.41749732979279	0	100	1
SPAC10F6.01c	28	1309	52	100	4905	300	0.28	266.930292107539	0.266870540265036	254.413683099438	0.0144269081837934	0.031501555789678	1.04919786096257	0.707639846415067	1.5451513114837	26	102	1
SPAC10F6.02c	9	168	10	100	3591	300	0.09	85.7990224631374	0.0467836257309941	44.5998817222287	0.0256572136334546	0.10783823750856	1.92375	0.921350541577355	3.8724711089324	4	105	1
SPAC10F6.03c	26	445	52	100	2113	300	0.26	247.863842671286	0.210601041173687	200.770705138014	0.0385036968709613	0.0880060939882389	1.23456179775281	0.813583114883412	1.85956876597149	21	105	1
SPAC10F6.05c	0	115	6	100	2025	300	0	0	0.0567901234567901	54.139300868372	0.000791881329869223	0.0419757012824448	0	0.0160355969298518	0.850007950969508	5	95	1
SPAC10F6.07c	1	14	4	100	366	300	0.01	9.53322471812638	0.0382513661202186	36.465886899937	0.00350210863509423	0.514391103811047	0.261428571428571	0.0128177176044449	1.88267143994843	3	98	1
SPAC10F6.08c	22	52	2	100	983	300	0.22	209.73094379878	0.0528992878942014	50.4300798924284	0.249205406655494	0.713413792374917	4.15884615384615	2.44968914742351	7.01285757904544	6	116	0.0119362138580142
SPAC10F6.09c	9	186	27	100	3689	300	0.09	85.7990224631374	0.0504201680672269	48.0666792510574	0.0232159810942705	0.0972165018970972	1.785	0.856437542567638	3.58631675498392	5	104	1
SPAC10F6.11c	1	52	1	100	2545	300	0.01	9.53322471812638	0.0204322200392927	19.4784945124783	0.000986668874465665	0.128409958324346	0.489423076923077	0.0251107228551512	3.26803343935461	2	99	1
SPAC10F6.12c	1	34	0	100	987	300	0.01	9.53322471812638	0.0344478216818642	32.8398825143158	0.0014954740609025	0.199297297707355	0.290294117647059	0.0147603289811076	1.9670643283716	3	98	1
SPAC10F6.13c	37	116	2	100	1199	300	0.37	352.729314570676	0.0967472894078399	92.2313650794545	0.2164817279234	0.468317516438264	3.82439655172414	2.59561591780156	5.61512702209478	12	125	4.55158323761764e-05
SPAC10F6.14c	11	45	47	100	1579	300	0.11	104.86547189939	0.0284990500316656	27.1687848204995	0.119388168981433	0.488880554935943	3.85977777777778	1.88513918821683	7.71942396243854	3	108	1
SPNCRNA.728	0	19	0	100	3006	300	0	0	0.00632069194943446	6.0256576728011	0.00484054272324269	0.264551414760663	0	0.145506714260675	7.95241552770554	0	100	1
SPAC10F6.17c	7	71	6	100	1801	300	0.07	66.7325730268846	0.0394225430316491	37.5823961680718	0.0415565802209914	0.222093986179129	1.7756338028169	0.748434009780055	3.99991269108611	4	103	1
SPAC56E4.02c	4	32	11	100	835	300	0.04	38.1328988725055	0.0383233532934132	36.5345138898256	0.037563286968844	0.369917431855713	1.04375	0.313653446189847	3.0888105559952	3	101	1
SPAC56E4.04c	100	2176	4	100	7583	300	1	953.322471812638	0.286957668468944	273.563193810405	0.0374065829715937	0.0564040309033735	3.48483455882353	2.83654118673595	4.27711766340281	44	156	1.51639776457568e-13
SPAC56E4.06c	15	198	3	100	2133	300	0.15	142.998370771896	0.0928270042194093	88.4940691134094	0.0431230126395309	0.130877668218336	1.61590909090909	0.919813859601195	2.7916206630971	9	106	1
SPAC1420.01c	6	384	49	100	2611	300	0.06	57.1993483087583	0.147070088088855	140.205219906569	0.00630866165991404	0.0361348838392982	0.40796875	0.164719155940356	0.943481817044076	13	93	1
SPAC1420.02c	21	219	25	100	1794	300	0.21	200.197719080654	0.122073578595318	116.375485689503	0.0596180801894854	0.152701112892894	1.72027397260274	1.06954835859937	2.73945796529851	13	108	1
SPAC1420.04c	0	0	0	0	37	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAPB17E12.04c	4	25	4	100	1773	300	0.04	38.1328988725055	0.0141003948110547	13.4422232348088	0.047266808660168	0.483109237625183	2.8368	0.838040517544778	8.56552678309449	1	103	1
SPAPB17E12.07c	1	36	1	100	1602	300	0.01	9.53322471812638	0.0224719101123595	21.422976894666	0.00141443034567027	0.187781775803804	0.445	0.0226591741376378	3.00826404837694	2	99	1
SPAPB17E12.10c	2	38	6	100	2015	300	0.02	19.0664494362528	0.0188585607940447	17.9782897910076	0.00878433500901352	0.222638928736117	1.06052631578947	0.177004350431622	4.48617441403275	1	101	1
SPAPB17E12.12c	1	37	3	100	875	300	0.01	9.53322471812638	0.0422857142857143	40.3119216652201	0.0013771155727744	0.182508731776351	0.236486486486487	0.012049761261776	1.59695140304307	4	97	1
SPAPB17E12.14c	6	370	6	100	3490	300	0.06	57.1993483087583	0.106017191977077	101.068571510222	0.00654569267830751	0.0375125589376085	0.565945945945946	0.228444674472932	1.30918830692254	10	96	1
SPAC1565.02c	1	17	1	100	1261	300	0.01	9.53322471812638	0.0134813639968279	12.8520872488619	0.0029153350293855	0.415929044001673	0.741764705882353	0.0367623747205512	5.24486524486109	1	100	1
SPNCRNA.733	3	14	1	100	617	300	0.03	28.5996741543791	0.0226904376012966	21.6313040605785	0.0490202656367911	0.791973133215248	1.32214285714286	0.302455038979001	4.88647423193808	2	101	1
SPAC1565.04c	7	17	2	100	1005	300	0.07	66.7325730268846	0.0169154228855721	16.1258527570297	0.155244475660278	1.05117984018045	4.13823529411765	1.5602069803858	10.5643573938136	1	106	1
SPAC1565.06c	27	100	11	100	1183	300	0.27	257.397067389412	0.084530853761623	80.585162452463	0.172421716543537	0.420296472553929	3.1941	2.03974890671004	4.97210727031298	9	118	0.0441086283663358
SPAC1565.07c	1	118	31	100	4480	300	0.01	9.53322471812638	0.0263392857142857	25.1098329629222	0.000439005478761073	0.0557176207546742	0.379661016949152	0.0196674454484961	2.49614940980941	2	99	1
SPAC6F12.03c	13	29	1	100	1047	300	0.13	123.931921335643	0.0276981852913085	26.4053024666347	0.221213927027532	0.895421033513282	4.69344827586207	2.31610981597826	9.37505822088406	3	110	0.412245746914233
SPAC6F12.05c	1	70	5	100	3291	300	0.01	9.53322471812638	0.0212701306593741	20.2772935359722	0.000736193769851976	0.0947130282636387	0.470142857142857	0.0242281369658285	3.11700576015635	2	99	1
SPAC6F12.08c	1	51	8	100	2445	300	0.01	9.53322471812638	0.0208588957055215	19.8852540132697	0.00100567785774732	0.130998981520172	0.479411764705882	0.0245888236219219	3.2029250981682	2	99	1
SPAC6F12.10c	16	607	24	100	4006	300	0.16	152.531595490022	0.151522715926111	144.450010082444	0.0154915169537131	0.0441544507327993	1.05594728171334	0.620590169165749	1.76882729635594	15	101	1
SPAC6F12.11c	3	80	57	100	2004	300	0.03	28.5996741543791	0.0399201596806387	38.0567853019017	0.00947009121977216	0.122701708188926	0.7515	0.189780628044234	2.45894223210608	3	100	1
SPAC6F12.13c	26	105	6	100	1367	300	0.26	247.863842671286	0.0768105340160936	73.2252081494711	0.157357988705515	0.387159606153289	3.38495238095238	2.15108370560438	5.29247181611546	8	118	0.0221520537111529
SPAC6F12.15c	6	55	8	100	2525	300	0.06	57.1993483087583	0.0217821782178218	20.7654399800773	0.042343133070545	0.263426556206964	2.75454545454545	1.06916411003126	6.65152054422585	2	104	1
SPAC6F12.16c	53	260	20	100	3372	300	0.53	505.260910060698	0.0771055753262159	73.5064776605237	0.149984646372987	0.276419024921798	6.87369230769231	5.05748227569713	9.32084952036301	10	143	1.45585852027729e-17
SPAC19E9.01c	7	183	3	100	1981	300	0.07	66.7325730268846	0.0923775870772337	88.0656296525556	0.0165067599272288	0.0840003678322297	0.75775956284153	0.326998914158403	1.66404728675647	9	98	1
SPNCRNA.736	2	73	8	100	2284	300	0.02	19.0664494362528	0.0319614711033275	30.4695886349924	0.00465387563304352	0.11328175898261	0.625753424657534	0.106294519458714	2.58735537516282	3	99	1
SPNCRNA.86	5	8	3	100	418	300	0.05	47.6661235906319	0.0191387559808612	18.2454061590935	0.178328055323484	2.09816142532908	2.6125	0.745411271252162	8.77031475787556	1	104	1
SPNCRNA.738	0	4	0	100	638	300	0	0	0.00626959247648903	5.97694339694444	0.0240893601812892	1.52670069174082	0	0.153690117956625	9.74035041330643	0	100	1
SPNCRNA.739	0	0	1	100	356	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC57A10.14	2	20	2	100	827	300	0.02	19.0664494362528	0.0241837968561064	23.0549569966781	0.0161614422706158	0.441429443740588	0.827	0.133655127577992	3.65062149973466	2	100	1
SPAC57A10.05c	0	190	5	100	3318	300	0	0	0.0572634116937914	54.59049718035	0.00047893025154732	0.025327207919479	0	0.0158909057463401	0.840356758768312	5	95	1
SPAC57A10.08c	3	20	0	100	1183	300	0.03	28.5996741543791	0.0169061707523246	16.1170324904926	0.0355268249310211	0.530617317909897	1.7745	0.420282338933979	6.27720287087408	1	102	1
SPAC57A10.09c	26	76	5	100	1075	300	0.26	247.863842671286	0.0706976744186047	67.3976817281493	0.213713601750916	0.544448171822399	3.67763157894737	2.29742121882235	5.85281784709079	8	118	0.00923517506145384
SPAC57A10.10c	5	107	5	100	933	300	0.05	47.6661235906319	0.114683815648446	109.330658610881	0.0168292801934714	0.118762433870379	0.435981308411215	0.157017184205088	1.10805350801064	10	95	1
SPAC57A10.11c	9	51	16	100	1378	300	0.09	85.7990224631374	0.0370101596516691	35.2826168813095	0.0810982488844935	0.37130780592501	2.43176470588235	1.11753386962832	5.11662156564664	3	106	1
SPAC57A10.12c	14	729	54	100	1639	300	0.14	133.465146053769	0.444783404514948	424.022014613431	0.0108703128612442	0.0332829101196901	0.314759945130316	0.178164427795792	0.54550689686172	35	79	1
SPNCRNA.58	11	2	14	100	260	300	0.11	104.86547189939	0.00769230769230769	7.33324978317414	1.15807621245357	35.8907424247376	14.3	3.01099815237927	93.3159303043177	0	111	0.323221007858336
SPAC20G8.04c	20	173	4	100	2289	300	0.2	190.664494362528	0.0755788553953692	72.0510212422832	0.0706714527953738	0.187121524098977	2.64624277456647	1.61766955448611	4.28321168662558	8	112	1
SPAC20G8.05c	10	338	1	100	3544	300	0.1	95.3322471812638	0.095372460496614	90.9207097834852	0.0148862980011248	0.0569682428325098	1.04852071005917	0.527570401159863	2.01895452598415	9	101	1
SPAC20G8.07c	3	83	2	100	905	300	0.03	28.5996741543791	0.0917127071823204	87.4317847076784	0.00913511430254266	0.118154260705222	0.32710843373494	0.0826727844380111	1.06929605938226	8	95	1
SPAC20G8.08c	9	85	24	100	3337	300	0.09	85.7990224631374	0.0254719808210968	24.2830117183321	0.0498117592579582	0.217241926867241	3.53329411764706	1.66221840643806	7.24936309955983	2	107	1
SPAC20G8.09c	4	289	13	100	3124	300	0.04	38.1328988725055	0.0925096030729834	88.1914834679425	0.00440147354936695	0.0383796420536389	0.432387543252595	0.137502033682223	1.19898001775568	8	96	1
SPAC20G8.10c	3	33	32	100	1401	300	0.03	28.5996741543791	0.0235546038543897	22.4551331690343	0.0222566461165473	0.308749155677299	1.27363636363636	0.311815612092828	4.32557567103896	2	101	1
SPAC3A12.03c	0	20	8	100	940	300	0	0	0.0212765957446809	20.2834568470774	0.00459577388787386	0.250708753220746	0	0.0432002745460143	2.35666228027502	2	98	1
SPAC3A12.04c	17	45	2	100	738	300	0.17	162.064820208148	0.0609756097560976	58.1294190129657	0.20796112019996	0.679037817581557	2.788	1.5347530670757	5.01129909375189	6	111	1
SPAC3A12.05c	13	187	13	100	3706	300	0.13	123.931921335643	0.0504587155963303	48.1034274767845	0.0378907859933117	0.124913913126283	2.57636363636364	1.40423252891213	4.62930962046005	5	108	1
SPAC3A12.06c	5	154	23	100	2545	300	0.05	47.6661235906319	0.0605108055009823	57.6863106715702	0.0117711176327482	0.0819100145989674	0.826298701298701	0.299574943753441	2.08460987154372	5	100	1
SPAC3A12.19	5	50	17	100	429	300	0.05	47.6661235906319	0.116550116550117	111.109845199608	0.03514736074431	0.261181710785662	0.429	0.15078217759309	1.12046953927049	10	95	1
SPAC3A12.09c	0	25	6	100	1769	300	0	0	0.0141322781232335	13.4726183127846	0.00366831680942558	0.19871450933181	0	0.0648925243587385	3.51525967007973	1	99	1
SPNCRNA.741	0	3	1	84	526	300	0	0	0.00570342205323194	5.43720040957778	0.0327971598819604	2.22593021867193	0	0.2053726916418	13.9385630359695	0	84	1
SPAC3A12.11c	1	76	3	100	1113	300	0.01	9.53322471812638	0.0682839173405211	65.0965928641154	0.000678757471648433	0.0870941109429738	0.146447368421053	0.00755457065944706	0.969357454795299	6	95	1
SPAC3A12.13c	1	80	5	100	1014	300	0.01	9.53322471812638	0.0788954635108481	75.2128182889655	0.000645199401115408	0.0826610619985175	0.12675	0.00654232192731024	0.838183168664967	7	94	1
SPAC3A12.16c	32	158	2	100	1237	300	0.32	305.063190980044	0.127728375101051	121.766330271946	0.135902136251187	0.300356833798417	2.5053164556962	1.68110942542719	3.71541403408642	14	118	0.42700955303237
SPAC3A12.17c	4	55	1	100	1313	300	0.04	38.1328988725055	0.0418888042650419	39.9335384232255	0.0224341146761097	0.208790067569031	0.954909090909091	0.29455992569732	2.74141358718137	4	100	1
SPAC9.02c	4	45	0	100	910	300	0.04	38.1328988725055	0.0494505494505494	47.1423200346909	0.0271963397809832	0.257605273600223	0.808888888888889	0.247486692006947	2.34420798976203	4	100	1
SPAC9.03c	3	574	20	100	6639	300	0.03	28.5996741543791	0.0864588040367525	82.4231207742814	0.0013455557991162	0.0167169152585049	0.34698606271777	0.0893314495033247	1.10983600401214	8	95	1
SPAC9.06c	5	52	5	100	984	300	0.05	47.6661235906319	0.0528455284552846	50.378829811237	0.0338542498364901	0.250645611855144	0.946153846153846	0.333125818391063	2.46635282065461	5	100	1
SPAC9.07c	10	176	14	100	1179	300	0.1	95.3322471812638	0.149279050042409	142.311072976272	0.0283324703235663	0.11044699034295	0.669886363636364	0.334039825114847	1.30217001614338	14	96	1
SPAC9.08c	5	141	2	100	1128	300	0.05	47.6661235906319	0.125	119.16530897658	0.0128384001801206	0.0896009379160109	0.4	0.14481715403176	1.0106985796926	11	94	1
SPNCRNA.743	0	9	0	100	1233	300	0	0	0.0072992700729927	6.95855818841341	0.0103569347612096	0.590306163886248	0	0.127701005605714	7.27847500071743	0	100	1
SPAC9.12c	0	38	3	100	1197	300	0	0	0.0317460317460317	30.2642054543694	0.00240594623539958	0.129094305004205	0	0.028799176437733	1.54525883090033	3	97	1
SPAC9.13c	2	87	2	100	943	300	0.02	19.0664494362528	0.0922587486744433	87.9523383326612	0.00391713594548977	0.0946738947225559	0.216781609195402	0.0369385919659685	0.892774827233702	8	94	1
SPAC5D6.13	12	109	22	100	1860	300	0.12	114.398696617517	0.0586021505376344	55.8667470040739	0.0577197926022138	0.205224631319197	2.04770642201835	1.07358814240118	3.81717814253706	6	106	1
SPAC5D6.12	0	125	17	100	3182	300	0	0	0.0392834695160277	37.4498142603959	0.000728417876617712	0.0385932182083468	0	0.0231782568339756	1.2280362033896	3	97	1
SPAC5D6.05	10	61	2	100	952	300	0.1	95.3322471812638	0.0640756302521008	61.0847382148854	0.0789961829816746	0.330479431030538	1.56065573770492	0.752043661985542	3.14616418341072	6	104	1
SPAC5D6.04	1	152	30	100	2287	300	0.01	9.53322471812638	0.0664626147791867	63.3603042044254	0.000341388375597821	0.0431366593028083	0.150460526315789	0.00780755214992217	0.986535398255225	6	95	1
SPAC5D6.01	8	279	106	100	566	300	0.08	76.265797745011	0.492932862190813	469.923974621424	0.0131900073639931	0.0596356472632872	0.162293906810036	0.0746554416802011	0.337537763510206	35	73	1
SPAC57A7.13	2	47	7	100	1958	300	0.02	19.0664494362528	0.0240040858018386	22.8836344102114	0.00715206070404783	0.178375811909637	0.833191489361702	0.140037348585257	3.49259839719069	2	100	1
SPAC57A7.12	24	291	15	100	1764	300	0.24	228.797393235033	0.164965986394558	157.26578191467	0.0531149348021453	0.127013137879198	1.45484536082474	0.936947449909843	2.24051175218905	17	107	1
SPAC57A7.11	20	297	8	100	4028	300	0.2	190.664494362528	0.073733862959285	70.2921484926399	0.0416171017577764	0.107778332491659	2.71245791245791	1.67633685880324	4.34131123276402	8	112	1
SPAC57A7.09	25	102	15	100	1338	300	0.25	238.330617953159	0.0762331838565022	72.674807268228	0.15436111894563	0.386523436190116	3.27941176470588	2.06535177149253	5.17168357622375	8	117	0.0520940251629983
SPAC57A7.08	33	293	31	100	2014	300	0.33	314.59641569817	0.145481628599801	138.690905780091	0.0772259369796512	0.163441559549429	2.26832764505119	1.55533037077018	3.29171300932551	16	117	1
SPAC57A7.06	3	215	58	100	2823	300	0.03	28.5996741543791	0.0761601133545873	72.6051475167259	0.00357350406062711	0.0449062424380785	0.393906976744186	0.100880019631503	1.26770322402696	7	96	1
SPAC57A7.05	0	199	4	100	7234	300	0	0	0.0275089853469726	26.2249339080336	0.000457245860681447	0.0241765304857902	0	0.0330771655616959	1.74893021534206	2	98	1
SPAC57A7.15c	1	5	8	100	727	300	0.01	9.53322471812638	0.00687757909215956	6.55655070022447	0.00883974757390515	1.74105855180368	1.454	0.0642649648622904	12.6574956716128	0	101	1
SPAC167.05	4	174	1	100	3194	300	0.04	38.1328988725055	0.0544771446462116	51.9342861914211	0.00727547114356085	0.0640925638736731	0.734252873563218	0.232378548325334	2.04711649012512	5	99	1
SPAC167.04	4	29	1	100	1033	300	0.04	38.1328988725055	0.0280735721200387	26.7631671660857	0.0411868094997137	0.411235858753941	1.4248275862069	0.425459742132042	4.24806642092821	2	102	1
SPAC167.02	0	71	8	100	3270	300	0	0	0.0217125382262997	20.6990506112224	0.0012841679281129	0.0683234262229618	0	0.041992291249292	2.23417603749085	2	98	1
SPAC167.01	2	115	11	100	3235	300	0.02	19.0664494362528	0.035548686244204	33.8893614400165	0.00297516225977818	0.0712606126986887	0.562608695652174	0.096246499103824	2.30528082080258	3	99	1
SPAC167.08	0	0	0	0	35	10	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAC1705.03c	67	1911	70	100	1776	300	0.67	638.726056114467	1.07601351351351	1025.7878624065	0.0272601885791533	0.0450110272184401	0.622668759811617	0.484140949165762	0.799395843399497	86	81	1
SPNCRNA.80	0	0	0	100	98	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.745	0	0	0	100	288	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.81	0	0	1	100	57	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC23H4.15	9	229	18	100	2482	300	0.09	85.7990224631374	0.0922643029814666	87.9576333783618	0.0189164095146188	0.0786974303419044	0.975458515283843	0.469505284152839	1.95327022108607	9	100	1
SPAC23H4.14	4	81	23	100	2963	300	0.04	38.1328988725055	0.0273371582855214	26.0611273090866	0.0154160419382817	0.139843211786121	1.46320987654321	0.456777322631286	4.14355436522277	2	102	1
SPAC23H4.21	1	4	8	100	475	300	0.01	9.53322471812638	0.00842105263157895	8.02797871000116	0.0106420142837121	2.34682041637603	1.1875	0.0505495678476325	11.1473969777861	0	101	1
SPAC23H4.12	5	100	2	100	1374	300	0.05	47.6661235906319	0.0727802037845706	69.3830037709343	0.017980013499749	0.12729050219088	0.687	0.247045385486551	1.7489715001027	7	98	1
SPAC23H4.09	3	79	1	100	1022	300	0.03	28.5996741543791	0.0772994129158513	73.6912673906051	0.0095872771545093	0.124296285916983	0.388101265822785	0.097981972519085	1.27030804207156	7	96	1
SPAC23H4.08	1	37	3	100	1037	300	0.01	9.53322471812638	0.0356798457087753	34.0143987049832	0.0013771155727744	0.182508731776351	0.28027027027027	0.0142806884896705	1.89261554852076	3	98	1
SPAC23H4.06	32	479	20	100	1791	300	0.32	305.063190980044	0.267448352875489	254.964524845479	0.0458979304106051	0.0967161887336314	1.19649269311065	0.822031933653938	1.73218694021934	27	105	1
SPAC23H4.04	13	43	5	100	1360	300	0.13	123.931921335643	0.0316176470588235	30.1418134470172	0.154727780021246	0.580610690121038	4.11162790697674	2.10429780828895	7.89630538564611	3	110	0.891899689844181
SPAC23H4.02	8	99	15	100	1872	300	0.08	76.265797745011	0.0528846153846154	50.4160922593222	0.0364665923812335	0.171543803709601	1.51272727272727	0.682654609376691	3.21130000544372	5	103	1
SPNCRNA.747	0	7	0	100	581	300	0	0	0.0120481927710843	11.4858129134053	0.0134151780994594	0.782741335671289	0	0.0779421847578594	4.54772716025019	1	99	1
SPNCRNA.748	0	1	0	100	423	300	0	0	0.00236406619385343	2.25371742745304	0.120791776113059	17.3080587281839	0	0.510949212958239	73.213088420218	0	100	1
SPAP27G11.04c	1	50	0	100	1191	300	0.01	9.53322471812638	0.0419815281276238	40.0219341650981	0.00102543367718739	0.133694516307104	0.2382	0.0122129150953018	1.5923016892176	4	97	1
SPAP27G11.05c	3	71	3	100	2883	300	0.03	28.5996741543791	0.0246271245230663	23.4775912239671	0.0106406468594465	0.138717113507949	1.21816901408451	0.306769848957844	3.99921438243418	2	101	1
SPAP27G11.06c	2	34	3	100	659	300	0.02	19.0664494362528	0.0515933232169954	49.1850744182544	0.00977594851961347	0.25022499125925	0.387647058823529	0.0644235007442528	1.64898269239846	5	97	1
SPAP27G11.07c	2	30	10	100	737	300	0.02	19.0664494362528	0.0407055630936228	38.8055280249378	0.011019937571277	0.285599406220113	0.491333333333333	0.0812169399003114	2.10486762384223	3	99	1
SPAP27G11.08c	0	31	0	100	1089	300	0	0	0.0284664830119376	27.1377379487528	0.00295316473031761	0.159112070807008	0	0.0321599639131588	1.73273045108832	2	98	1
SPAP27G11.09c	15	69	20	100	1405	300	0.15	142.998370771896	0.0491103202846975	46.8179719253182	0.119343280248302	0.390057630555988	3.05434782608696	1.67677308748864	5.48030970931163	5	110	1
SPAP27G11.10c	3	237	22	100	4996	300	0.03	28.5996741543791	0.0474379503602882	45.2236640951952	0.00324430801985159	0.0407005097325352	0.632405063291139	0.162085628671785	2.03339746623746	4	99	1
SPAP27G11.11c	0	0	0	100	155	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPNCRNA.750	0	0	0	100	1072	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAP27G11.13c	1	50	38	100	217	300	0.01	9.53322471812638	0.230414746543779	219.659555717198	0.00102543367718739	0.133694516307104	0.0434	0.00222519107949664	0.290117100386415	18	83	1
SPAP27G11.14c	7	55	14	100	2356	300	0.07	66.7325730268846	0.0233446519524618	22.2549813029266	0.0530630181139325	0.290144425596688	2.99854545454545	1.25016470676425	6.83580266705797	2	105	1
SPAC343.01c	0	114	1	100	2452	300	0	0	0.0464926590538336	44.3224966503429	0.000798841240028825	0.0423468476702617	0	0.0195875872055068	1.03834470487482	4	96	1
SPAC343.04c	5	88	19	100	1870	300	0.05	47.6661235906319	0.0470588235294118	44.8622339676535	0.0203674679576783	0.145157376322844	1.0625	0.380871650808584	2.71444293723718	4	101	1
SPNCRNA.751	0	4	24	100	329	273	0	0	0.0121580547112462	11.5905467697585	0.0240893601812892	1.52670069174082	0	0.0792539949964415	5.0228452758273	1	99	1
SPAC343.06c	30	110	5	100	1156	300	0.3	285.996741543791	0.0951557093425606	90.7140760375347	0.178339727592791	0.414967248766914	3.15272727272727	2.06160725097267	4.79702139574553	11	119	0.0207823014556317
SPAC343.08c	6	85	48	100	2737	300	0.06	57.1993483087583	0.031055900621118	29.6062879444919	0.0278403373224272	0.16747196918096	1.932	0.761990032514833	4.58370779648287	3	103	1
SPNCRNA.752	0	15	11	100	1690	300	0	0	0.00887573964497041	8.46144205750862	0.00615095181701504	0.339527058120729	0	0.103951085707554	5.73800728224032	0	100	1
SPAC343.11c	36	360	20	100	4799	300	0.36	343.19608985255	0.0750156282558866	71.5140841534798	0.0698752571214864	0.142482070650009	4.799	3.35331358926013	6.83771457049393	9	127	4.22852581376313e-08
SPNCRNA.753	0	2	0	100	528	300	0	0	0.00378787878787879	3.61106996898726	0.0514242900386907	4.05388820080272	0	0.271520251404287	21.4045297002384	0	100	1
SPAC343.20	32	204	50	100	1654	300	0.32	305.063190980044	0.123337363966143	117.580280683058	0.106079944583368	0.230784424402175	2.59450980392157	1.75456228340891	3.81717437961198	14	118	0.193146570494664
SPAC343.14c	11	80	6	100	1279	300	0.11	104.86547189939	0.0625488663017983	59.6292398319085	0.0692950033048681	0.265933898179557	1.758625	0.886283092269263	3.40129455771653	6	105	1
SPAC343.17c	0	101	29	100	6225	300	0	0	0.0162248995983936	15.4675613900524	0.000901889401576689	0.0478465687296423	0	0.0561426152481489	2.97844890342023	1	99	1
SPNCRNA.754	0	0	0	100	386	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC824.03c	5	56	2	100	1182	300	0.05	47.6661235906319	0.0473773265651438	45.1658700689575	0.0315339672071874	0.231929730515963	1.05535714285714	0.372731492388955	2.74140941469868	4	101	1
SPNCRNA.755	0	7	6	100	1545	300	0	0	0.00453074433656958	4.31926039008962	0.0134151780994594	0.782741335671289	0	0.207264501636648	12.0933536361214	0	100	1
SPAC824.09c	1	64	6	100	1313	300	0.01	9.53322471812638	0.0487433358720487	46.4681174379351	0.000804249148526225	0.103792408019431	0.20515625	0.0105597913201493	1.36279431729513	4	97	1
SPAC664.01c	11	148	7	100	1536	300	0.11	104.86547189939	0.0963541666666667	91.8565923361135	0.0381856088396995	0.140848807348632	1.14162162162162	0.586530951777784	2.16343768087499	9	102	1
SPAC664.02c	1	51	8	100	2298	279	0.01	9.53322471812638	0.0221932114882507	21.1572872334397	0.00100567785774732	0.130998981520172	0.450588235294118	0.0231104771710334	3.01035659533355	2	99	1
