Mcs6as_Cdk9as_3MBPP1r1_pr_counts	Mcs6as_Cdk9as_3MBPP1r1gb_counts	Mcs6as_Cdk9as_3MBPP1r1term_counts	Mcs6as_Cdk9as_3MBPP1r1pr_map	Mcs6as_Cdk9as_3MBPP1r1gb_map	Mcs6as_Cdk9as_3MBPP1r1term_map	Mcs6as_Cdk9as_3MBPP1r1pr_density	Mcs6as_Cdk9as_3MBPP1r1pr_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1gb_density	Mcs6as_Cdk9as_3MBPP1r1gb_densityRPKM	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high	Mcs6as_Cdk9as_3MBPP1r1pause_index_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_low_scaled	Mcs6as_Cdk9as_3MBPP1r1pause_index_CI_high_scaled	Mcs6as_Cdk9as_3MBPP1r1_ExpPR	Mcs6as_Cdk9as_3MBPP1r1_ExpGB	Mcs6as_Cdk9as_3MBPP1r1Fexact_Pval
SPAC8E11.05c	32	519	23	100	2169	300	0.32	70.5348414564122	0.239280774550484	52.7425984265185	0.0423996505414103	0.0891782991294636	1.33734104046243	0.919648420243189	1.93427730811807	25	107	1
SPAC8E11.04c	7	76	14	100	994	300	0.07	15.4294965685902	0.0764587525150905	16.8531437081468	0.0389194832722647	0.206920264705202	0.915526315789474	0.386859663726311	2.05678743116971	7	100	1
SPAC8E11.03c	4	13	3	100	941	300	0.04	8.81685518205153	0.0138150903294368	3.04514126904011	0.0848707622678806	1.00958058009583	2.89538461538462	0.798633872940756	9.50015325870176	1	103	1
SPAC8E11.02c	91	2382	282	100	1255	300	0.91	200.583455391672	1.89800796812749	418.361534733999	0.0308050787900422	0.0473244949027569	0.479450041981528	0.38660373881503	0.593922411029599	125	66	1
SPAC8E11.01c	39	216	256	100	2116	300	0.39	85.9643380250024	0.102079395085066	22.5004810884113	0.126427064865774	0.256908636838913	3.82055555555556	2.67519669255978	5.43618675551139	12	127	7.13515152832308e-06
SPAC959.02	74	801	42	100	1364	300	0.74	163.111820867953	0.587243401759531	129.441000748227	0.0722586967709186	0.117939376496523	1.26012484394507	0.985608623955329	1.60869309541257	64	110	1
SPAC959.10	15	176	24	100	1033	300	0.15	33.0632069326932	0.170377541142304	37.554852663143	0.0483924681710595	0.147619809342954	0.880397727272727	0.499894196207045	1.52491263051271	16	99	1
SPSNORNA.20	975	741	1331	100	126	300	9.75	2149.10845062506	5.88095238095238	1296.28763688496	1.19455427104865	1.44935149870508	1.65789473684211	1.50513838152129	1.8261828883684	918	157	1
SPNCRNA.906	975	1047	1289	100	197	300	9.75	2149.10845062506	5.31472081218274	1171.47809335126	0.85262071792922	1.01708824914787	1.83452722063037	1.67966281432056	2.00366385082131	904	171	0.00954862762338997
SPAC959.07	103	625	195	100	699	300	1.03	227.034020937827	0.894134477825465	197.08635510666	0.133032397957789	0.203977381683841	1.151952	0.929896461724942	1.42580189797005	95	108	1
SPAC959.08	108	279	290	100	400	300	1.08	238.055089915391	0.6975	153.743912237024	0.308050015776409	0.486113743575584	1.54838709677419	1.23220006310564	1.94445497430233	85	123	1
SPAP32A8.02	19	194	26	100	3405	300	0.19	41.8800621147448	0.0569750367107195	12.5585161917621	0.059301747054835	0.15988520847091	3.33479381443299	2.01922448721713	5.4440913484345	6	113	0.220526599126267
SPAC3H5.12c	33	383	258	52	627	300	0.634615384615385	139.882798561394	0.610845295055821	134.643362628618	0.0593510361613103	0.124450762049762	1.03891343643302	0.715636532175799	1.50058899625387	32	53	1
SPAC3H5.13	16	59	20	100	351	300	0.16	35.2674207282061	0.168091168091168	37.0508871610427	0.150013277379171	0.483885126876699	0.951864406779661	0.526546603600889	1.69843679533721	16	100	1
SPAC3H5.09c	19	1757	35	100	8315	300	0.19	41.8800621147448	0.211304870715574	46.5761111090335	0.00668400410133005	0.0172837924884556	0.899174729652817	0.555774941025594	1.43714734541509	20	99	1
SPAC3H5.08c	20	574	7	100	3282	300	0.2	44.0842759102576	0.174893357708714	38.5502351805117	0.0216954051870168	0.0553395379834658	1.14355400696864	0.712043198237891	1.81624363661735	17	103	1
SPAC3H5.06c	6	446	222	100	5087	222	0.06	13.2252827730773	0.0876744643208178	19.3253263770148	0.00543678539036053	0.0310799283117109	0.684349775784753	0.27656927280764	1.58103595321673	8	98	1
SPAC3H5.05c	154	301	122	96	332	300	1.60416666666667	353.592629696858	0.906626506024096	199.839865195596	0.419327883123773	0.624048342720728	1.76937984496124	1.45017559580305	2.15816718524252	118	132	0.706718498023309
SPAC3A11.14c	2	184	2	100	3037	300	0.02	4.40842759102576	0.060586104708594	13.3544727815071	0.00186811893151162	0.0442753046606247	0.330108695652174	0.056734771950008	1.34464100254317	5	97	1
SPAC3A11.12c	115	1979	140	100	1887	300	1.15	253.484586483981	1.04875463698993	231.167943896131	0.0479241159852598	0.0704058746168526	1.09653865588681	0.904328068641853	1.32855885402001	110	105	1
SPAC3A11.11c	11	91	74	100	1568	300	0.11	24.2463517506417	0.0580357142857143	12.7923122061015	0.0612248669371449	0.232548478246199	1.89538461538462	0.960005913574433	3.64636013890039	6	105	1
SPAC3A11.10c	97	764	65	100	1327	300	0.97	213.80873816475	0.575734740015072	126.904245649724	0.102179652470689	0.157605135918089	1.68480366492147	1.35592398828605	2.09142015363304	71	126	1
SPAC3A11.08	49	889	38	100	2619	300	0.49	108.006475980131	0.339442535318824	74.820391913362	0.0408804034946677	0.074103079876115	1.44354330708661	1.07065776752535	1.94075966195545	37	112	1
SPNCRNA.910	8	159	279	100	743	300	0.08	17.6337103641031	0.21399730820996	47.1695818959015	0.0229599681151764	0.1055425106868	0.373836477987421	0.170592563095761	0.784180854402927	19	89	1
SPAC3A11.07	123	2339	127	100	2299	300	1.23	271.118296848084	1.01739886907351	224.256462275104	0.0436743648322137	0.0632723553448325	1.20896536981616	1.00407364749259	1.4546314493777	112	111	1
SPAC3A11.05c	0	359	7	100	2945	300	0	0	0.121901528013582	26.8697029741638	0.000253333134715561	0.013374268702883	0	0.00746066081737327	0.393872213299904	10	90	1
SPAC3A11.03	3	74	10	100	3509	300	0.03	6.61264138653865	0.0210886292390995	4.64838474972794	0.0102195802950602	0.132933710232173	1.42256756756757	0.358605072553661	4.66464389204694	2	101	1
SPAC328.02	5	830	138	100	3781	300	0.05	11.0210689775644	0.219518645860883	48.3866027578866	0.00221147140331755	0.0149898790481587	0.227771084337349	0.0836157337594365	0.566767326810881	18	87	1
SPAC328.03	17	1239	74	100	1957	300	0.17	37.471634523719	0.633111905978539	139.551399726135	0.00822841658457863	0.0225525719621478	0.268514931396287	0.161030112560204	0.441353833299232	45	72	1
SPAC328.04	27	322	31	100	2897	300	0.27	59.5137724788478	0.111149464963756	24.4997184036986	0.0554382680939365	0.125955870314947	2.42916149068323	1.60604662668134	3.648941563024	12	115	1
SPAC328.05	10	334	50	100	2090	300	0.1	22.0421379551288	0.159808612440191	35.2252348182441	0.015062801867137	0.0576576446213233	0.625748502994012	0.314812559023163	1.20504477258566	15	95	1
SPAC328.06	44	892	3	100	3718	300	0.44	96.9854070025668	0.239913932221625	52.8821599138647	0.0359930995726132	0.0673746079444275	1.83399103139013	1.33822344210976	2.50498792337381	27	117	1
SPAC328.09	26	1405	12	100	1645	70	0.26	57.3095586833349	0.854103343465046	188.262637245933	0.0122939855538915	0.0276451112000428	0.3044128113879	0.202236062361515	0.454762079240704	58	68	1
SPNCRNA.222	2	1	2	100	408	300	0.02	4.40842759102576	0.00245098039215686	0.540248479292373	0.143294171183347	55.6482554667983	8.16	0.584640218428055	227.044882304537	0	102	1
SPAC16E8.01	41	1932	26	100	4675	300	0.41	90.3727656160282	0.413262032085562	91.0917872284682	0.0153718900799991	0.0291861507763803	0.992106625258799	0.71863586123996	1.36445254879578	41	100	1
SPAC16E8.02	11	120	21	100	2530	300	0.11	24.2463517506417	0.0474308300395257	10.4547689905749	0.0468443351129324	0.174695919337379	2.31916666666667	1.18516167835719	4.41980675923569	5	106	1
SPAC16E8.03	5	27	10	100	391	300	0.05	11.0210689775644	0.0690537084398977	15.2209136774547	0.0626901490871644	0.504810555526247	0.724074074074074	0.245118482930813	1.97380927210762	6	99	1
SPNCRNA.914	20	38	7	100	771	300	0.2	44.0842759102576	0.0492866407263294	10.8638293423462	0.295675025511159	0.93066296293312	4.0578947368421	2.27965444669104	7.17541144421435	5	115	0.0655865863441927
SPNCRNA.562	1	17	2	100	535	300	0.01	2.20421379551288	0.0317757009345794	7.00404383620916	0.0029153350293855	0.415929044001673	0.314705882352941	0.0155970424072124	2.22522038540895	3	98	1
SPAC16E8.08	89	584	100	100	1228	300	0.89	196.175027800646	0.47557003257329	104.825802653056	0.121134950767256	0.191519531891148	1.87143835616438	1.48753719542191	2.3518598516233	60	129	0.255404890498001
SPAC16E8.09	27	875	11	100	2988	300	0.27	59.5137724788478	0.292838018741633	64.5477600760968	0.0206148961676666	0.0458615889408905	0.922011428571429	0.615973097489879	1.37034427755381	28	99	1
SPAC16E8.13	188	830	18	100	2423	300	1.88	414.392193556422	0.342550557160545	75.5054663753897	0.192712592471424	0.266137155493995	5.48824096385542	4.66942611558261	6.4485032776195	73	215	1.59596992707393e-37
SPAC16E8.15	40	877	16	100	1094	300	0.4	88.1685518205153	0.80164533820841	176.699771358757	0.0327701937735909	0.0632342427109651	0.498973774230331	0.358505919883084	0.691782615257959	62	78	1
SPAC16E8.16	2	3582	52	100	2211	300	0.02	4.40842759102576	1.62008141112619	357.100579625832	9.66720333214488e-05	0.00225314297405997	0.0123450586264657	0.00213741865673723	0.0498169911564658	63	39	1
SPAC1B1.01	28	684	25	100	1918	300	0.28	61.7179862743607	0.356621480709072	78.6069987555167	0.0275042126235961	0.060520696915764	0.785146198830409	0.527530798120573	1.16078696684435	33	95	1
SPNCRNA.915	6	23	55	100	250	300	0.06	13.2252827730773	0.092	20.2787669187185	0.0953525083166217	0.674010516390082	0.652173913043478	0.238381270791554	1.6850262909752	8	98	1
SPAC17A2.01	14	85	0	100	2185	300	0.14	30.8589931371803	0.0389016018306636	8.57474474226979	0.0896152175034525	0.29747006156969	3.59882352941176	1.95809250245044	6.49972084529772	4	110	1
SPNCRNA.916	18	23	26	100	132	300	0.18	39.6758483192319	0.174242424242424	38.406755527876	0.404874016217897	1.50692751022027	1.03304347826087	0.534433701407624	1.98914431349076	17	101	1
SPNCRNA.124	1	1	0	100	150	300	0.01	2.20421379551288	0.00666666666666667	1.46947586367525	0.027408528703162	36.4849938072245	1.5	0.041112793054743	54.7274907108367	0	101	1
SPAC17A2.05	18	1284	51	100	2211	300	0.18	39.6758483192319	0.580732700135685	128.005902914452	0.00853688955214707	0.0227189448992884	0.309953271028037	0.188750627997972	0.502315871723267	43	75	1
SPNCRNA.917	3	1	4	100	239	300	0.03	6.61264138653865	0.00418410041841004	0.922265186407064	0.281109371130232	74.8083338953006	7.17	0.671851397001255	178.791918009768	0	103	1
SPAC17A2.11	1	94	21	100	1595	300	0.01	2.20421379551288	0.0589341692789969	12.9903508951856	0.000550022635457497	0.0701615416299683	0.16968085106383	0.00877286103554708	1.119076588998	5	96	1
SPAC17A2.12	4	929	6	100	4093	300	0.04	8.81685518205153	0.22697288052773	50.029675446652	0.00137615311819037	0.011871847415407	0.176232508073197	0.0563259471275319	0.485914714712607	19	85	1
SPNCRNA.920	9	122	265	100	1055	300	0.09	19.8379241596159	0.11563981042654	25.4894865452675	0.0350860934900686	0.149602153312921	0.77827868852459	0.370158286320224	1.57830271745132	11	98	1
SPAC17A2.14	65	730	7	100	2425	300	0.65	143.273896708337	0.301030927835052	66.3536524010063	0.0684965697659215	0.115536902281672	2.15924657534247	1.6610418168236	2.80176988033056	38	127	0.0285059736995352
SPAC17G6.03	17	7181	16	100	4231	300	0.17	37.471634523719	1.69723469628929	374.106813178398	0.00142385212797513	0.00387957509600551	0.100162929954045	0.0602431835346276	0.164144822311993	73	44	1
SPNCRNA.226	209	0	1	100	284	300	2.09	460.680683262192	0	0	43.4504254086543	2297.03001110117	NA	123.399208160578	6523.56523152731	0	309	2.12953303318947e-79
SPAC17G6.06	57	457	101	100	483	300	0.57	125.640186344234	0.946169772256729	208.556046490556	0.0937572642527505	0.165565553419349	0.602428884026258	0.452847586340785	0.799681623015454	76	81	1
SPAC17G6.08	4	273	175	100	1969	300	0.04	8.81685518205153	0.13864906043677	30.5612171749628	0.00465744648995044	0.0406485895293454	0.288498168498169	0.0917051213871241	0.800370727832811	12	92	1
SPAC17G6.09	107	800	160	100	1297	300	1.07	235.850876119878	0.616808018504241	135.957674357001	0.108727628098973	0.164393811988471	1.7347375	1.41019733644368	2.13218774149047	78	129	0.736118364646217
SPAC17G6.10	67	483	62	100	1639	300	0.67	147.682324299363	0.294691885295912	64.9563918994949	0.106512279078645	0.180353433616183	2.27356107660455	1.74573625409899	2.95599277696925	38	129	0.00780849450419017
SPNCRNA.921	0	77	3	100	1516	300	0	0	0.0507915567282322	11.1955450035945	0.0011838127111161	0.0629364895177057	0	0.0179466007005201	0.954117181088418	4	96	1
SPNCRNA.227	2	61	11	100	776	300	0.02	4.40842759102576	0.0786082474226804	17.3269383410162	0.00554834001928696	0.136229324244619	0.254426229508197	0.0430551185496668	1.05713955613825	7	95	1
SPAC17G6.12	15	234	9	100	2639	300	0.15	33.0632069326932	0.0886699507389163	19.5447528666167	0.0366015243843152	0.110388201411276	1.69166666666667	0.965914228502079	2.91314463524357	9	106	1
SPAC17G6.13	45	529	30	100	1338	300	0.45	99.1896207980797	0.395366218236173	87.147167251593	0.0619658576857912	0.116407101759866	1.13818525519849	0.829103175835887	1.557527021547	41	104	1
SPAC17G6.17	5	195	166	100	1456	300	0.05	11.0210689775644	0.133928571428571	29.520720475619	0.00932599591159969	0.0644590367465795	0.373333333333333	0.135786500472891	0.938523575030197	12	93	1
SPAC1142.01	140	453	12	100	1904	300	1.4	308.589931371803	0.237920168067227	52.4426916684525	0.254512599396475	0.375096630312906	5.88432671081678	4.84591989250888	7.14183984115772	46	194	2.82871123987712e-32
SPAC1142.04	39	1650	59	100	2169	300	0.39	85.9643380250024	0.760719225449516	167.67878112477	0.0169689357349211	0.0327891648559322	0.512672727272727	0.368056216090439	0.71119698572517	60	79	1
SPRRNA.16	3	0	0	34	14	298	0.0882352941176471	19.4489452545254	0	0	0.449250381531113	30.4904450141133	NA	0.184985451218694	12.5548891234584	0	37	1
SPAC1142.05	43	182	35	100	969	300	0.43	94.7811932070539	0.187822497420021	41.4000939920892	0.167037646212617	0.333165333833101	2.2893956043956	1.61859479180026	3.22837208484275	22	121	0.332043271116265
SPAC1142.06	5	635	79	100	1508	300	0.05	11.0210689775644	0.421087533156499	92.8166949702042	0.00288804328548965	0.0196120328943849	0.118740157480315	0.0435516927451839	0.295749456047324	31	74	1
SPNCRNA.924	1	3	216	100	19	300	0.01	2.20421379551288	0.157894736842105	34.8033757186245	0.0133674946082822	3.55733427163736	0.0633333333333333	0.00253982397557362	0.675893511611098	13	88	1
SPAC1142.08	54	1187	47	100	2324	300	0.54	119.027544957696	0.510757314974182	112.581831982521	0.0342864516353025	0.0602128457751983	1.05725358045493	0.796817136004429	1.39934653581561	52	102	1
SPAC1142.09	1	0	27	100	3	300	0.01	2.20421379551288	0	0	0.0577765545925511	8.27870929775896	NA	0.00173329663777653	0.248361278932769	0	101	1
SPAC8C9.03	20	282	17	100	2408	300	0.2	44.0842759102576	0.117109634551495	25.8134672065877	0.0437949337844825	0.113606794483135	1.70780141843972	1.05458200553034	2.73565161115388	12	108	1
SPAC8C9.04	15	833	33	100	2365	300	0.15	33.0632069326932	0.352219873150106	77.636790345126	0.0104099418478064	0.0306142663331757	0.425870348139256	0.246195124700622	0.724027398779606	29	86	1
SPAC8C9.05	93	350	9	100	1037	300	0.93	204.991882982698	0.337512054001929	74.394872558294	0.20997659610458	0.335936935777601	2.75545714285714	2.1774573016045	3.48366602401372	48	145	1.01422384054233e-06
SPAC8C9.07	64	285	190	100	519	300	0.64	141.069682912824	0.549132947976879	121.040641950129	0.169600481210961	0.29683227046988	1.16547368421053	0.880226497484888	1.54055948373868	58	106	1
SPAC8C9.08	173	634	404	100	558	300	1.73	381.328986623729	1.13620071684588	250.442929454331	0.229801740950947	0.323894905574474	1.52261829652997	1.28229371450628	1.80733357310556	145	128	1
SPAC8C9.11	3	316	86	100	1234	300	0.03	6.61264138653865	0.256077795786062	56.4450210196168	0.00243786470793242	0.0304572499600879	0.117151898734177	0.0300832504958861	0.375842464507484	20	83	1
SPNCRNA.228	43	97	38	100	473	300	0.43	94.7811932070539	0.20507399577167	45.2026930580866	0.304620841929321	0.643565762993631	2.09680412371134	1.44085658232569	3.04406605895988	24	119	1
SPAC8C9.19	0	2	7	100	62	300	0	0	0.032258064516129	7.11036708229962	0.0514242900386907	4.05388820080272	0	0.0318830598239883	2.51341068449769	3	97	1
SPAC8C9.14	167	3354	40	100	2956	300	1.67	368.103703850651	1.13464140730717	250.099224294662	0.042488399600748	0.0583231734523621	1.47183064997018	1.25595709219811	1.72403300725182	141	126	1
SPAC15A10.01	12	234	37	100	4203	300	0.12	26.4505655461546	0.0556745182012848	12.2718541077805	0.0273578076234491	0.0938688910446862	2.15538461538462	1.14984865441356	3.94530949060816	5	107	1
SPAC15A10.02	16	528	30	100	1848	300	0.16	35.2674207282061	0.285714285714286	62.9775370146538	0.0177910198598721	0.0508149553028059	0.56	0.328778047010436	0.939060373995853	25	91	1
SPNCRNA.926	6	25	3	100	1390	300	0.06	13.2252827730773	0.0179856115107914	3.96441330128216	0.0884284041294287	0.614451905742255	3.336	1.22915481739906	8.54088148981735	1	105	1
SPAC15A10.17	50	135	197	100	147	300	0.5	110.210689775644	0.918367346938776	202.427797547101	0.264189981013658	0.518134814356407	0.544444444444444	0.388359272090077	0.761658177103918	71	79	1
SPAC15A10.06	52	421	51	100	2279	300	0.52	114.61911736667	0.184730144800351	40.7184733616026	0.091578676012745	0.166174675484569	2.81491686460808	2.08707802633046	3.78712085429333	23	129	0.000245746309157863
SPAC15A10.07	31	311	37	100	1019	300	0.31	68.3306276608993	0.305201177625123	67.2728646128073	0.0676488390919679	0.146063141287039	1.01572347266881	0.689341670347153	1.48838340971493	30	101	1
SPAC15A10.08	26	231	6	100	2024	300	0.26	57.3095586833349	0.114130434782609	25.1567878835709	0.073383733739335	0.171403040942719	2.27809523809524	1.48528677088414	3.46919754868064	12	114	1
SPAC15A10.10	1	25	4	100	3074	300	0.01	2.20421379551288	0.0081327260897853	1.79262670422323	0.00201502960057811	0.275223236161762	1.2296	0.0619420099217712	8.46036227961256	0	101	1
SPAC15A10.11	56	1595	32	100	6436	300	0.56	123.435972548721	0.247824735860783	54.6258701653674	0.0266386489034799	0.0461657182623768	2.25966144200627	1.71446344342796	2.97122562736657	30	126	0.0196973657549885
SPAC15A10.13	0	399	44	100	3176	300	0	0	0.125629722921914	27.6914768390945	0.000227922174212565	0.0120304432413785	0	0.00723880825299105	0.382086877346182	11	89	1
SPNCRNA.229	4	3	16	100	47	300	0.04	8.81685518205153	0.0638297872340425	14.0694497585929	0.253716790119337	7.46861872267986	0.626666666666667	0.119246891356088	3.51025079965954	6	98	1
SPAC15A10.15	34	599	101	100	2252	300	0.34	74.943269047438	0.265985790408526	58.628954862887	0.0395265973077417	0.0811091135263002	1.27826377295492	0.890138971370342	1.82657723661228	28	106	1
SPAC15A10.16	19	871	4	100	4121	300	0.19	41.8800621147448	0.211356466876972	46.5874840061082	0.0134474734557626	0.034960076487455	0.898955223880597	0.554170381111976	1.44070475204802	20	99	1
SPAC15E1.03	180	1166	678	100	407	300	1.8	396.758483192319	2.86486486486486	631.477465741528	0.13152346540915	0.181126404049813	0.628301886792453	0.535300504215239	0.737184464482737	207	73	1
SPAC15E1.04	218	1736	43	100	1981	300	2.18	480.518607421808	0.876325088339223	193.160784907136	0.108795321585551	0.144903445579812	2.48766129032258	2.15523532060976	2.87053725693608	148	170	2.28361372478823e-10
SPAC15E1.06	15	225	46	100	854	300	0.15	33.0632069326932	0.263466042154567	58.0735484766275	0.038039683996996	0.114884867669112	0.569333333333333	0.324858901334346	0.981116769894218	23	92	1
SPAC15E1.08	13	379	118	100	1063	300	0.13	28.6547793416675	0.35653809971778	78.5886198023878	0.0188857916662985	0.0609856764400302	0.364617414248021	0.200755965412753	0.648277740557522	29	84	1
SPAC15E1.09	43	160	37	100	992	300	0.43	94.7811932070539	0.161290322580645	35.5518354114981	0.189131182633363	0.380761664411942	2.666	1.87618133172296	3.77715571096647	19	124	0.0181835405648492
SPAC15E1.10	17	98	35	100	721	300	0.17	37.471634523719	0.135922330097087	29.9601875118256	0.100026104412486	0.296961340823955	1.25071428571429	0.721188212814027	2.14109126734071	14	103	1
SPAP7G5.03	8	270	2	100	6657	300	0.08	17.6337103641031	0.0405588102748986	8.94002891375211	0.0136248236634161	0.0616468720090665	1.97244444444444	0.907004511273613	4.10383226964355	4	104	1
SPAP7G5.05	32	94	253	28	320	300	1.14285714285714	251.910148058615	0.29375	64.7487802431909	0.22331592659615	0.516737667001703	3.89057750759878	2.55218201824172	5.90557333716232	13	47	0.0132227305718367
SPNCRNA.935	12	203	27	100	2844	300	0.12	26.4505655461546	0.0713783403656821	15.7333122534851	0.0314618061746435	0.108469107365316	1.68118226600985	0.894773767606861	3.08486141346957	7	105	1
SPAP7G5.06	21	254	15	100	2802	300	0.21	46.2884897057705	0.0906495360456817	19.9810957908734	0.0515530477874475	0.131265390676656	2.31661417322835	1.44451639900428	3.67805624675989	10	111	1
SPNCRNA.230	0	0	1	0	16	18	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.231	0	0	0	23	51	0	0	0	0	0	NA	NA	NA	NA	NA	0	23	1
SPNCRNA.232	0	0	0	0	67	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPNCRNA.234	0	0	0	0	38	0	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	1
SPAP4C9.02	30	252	18	100	630	300	0.3	66.1264138653865	0.4	88.1685518205153	0.0799700242283388	0.176206999619213	0.75	0.503811152638534	1.11010409760104	37	93	1
SPNCRNA.936	8	22	0	100	1734	300	0.08	17.6337103641031	0.0126874279123414	2.79658036339581	0.149100835899916	0.857796215069198	6.30545454545455	2.58540849450455	14.8741863692999	1	107	1
SPAC1556.03	29	573	8	100	2466	300	0.29	63.9222000698736	0.232360097323601	51.2171332047397	0.0341901535557654	0.0744473782109033	1.24806282722513	0.843129186685174	1.83587234668087	24	105	1
SPAC1556.06	10	186	65	100	2147	300	0.1	22.0421379551288	0.0866325104797392	19.0956574739355	0.0268361143899696	0.10439840896546	1.15430107526882	0.576171375952647	2.24143384048842	8	102	1
SPAC1556.07	100	1041	172	100	965	300	1	220.421379551288	1.07875647668394	237.780990790561	0.0778042794534173	0.118490525021543	0.926993275696446	0.750811296725477	1.14343356645789	103	97	1
SPAC1F12.05	49	639	306	100	3015	300	0.49	108.006475980131	0.211940298507463	46.7161729795267	0.0566984915040527	0.103418317376901	2.31197183098592	1.70945951884719	3.11806226891358	26	123	0.0441625941912925
SPAC1F12.07	96	930	52	100	1299	300	0.96	211.604524369237	0.715935334872979	157.807454182216	0.0831748493568873	0.127982036919087	1.34090322580645	1.08044129314597	1.66248665957894	81	115	1
SPAC1F12.08	23	107	29	100	1154	300	0.23	50.6969172967963	0.0927209705372617	20.4376842391576	0.133381747750615	0.343666873996172	2.48056074766355	1.5392253690421	3.96591572591582	10	113	1
SPAC1F12.09	10	279	20	100	1599	300	0.1	22.0421379551288	0.174484052532833	38.4600155689865	0.0179968664320191	0.0691663622444196	0.573118279569892	0.287769894247985	1.10597013228827	16	94	1
SPAC4H3.01	0	383	10	100	2579	300	0	0	0.148507173322993	32.7341560171165	0.000237449255808826	0.0125342103670714	0	0.00612381630730961	0.323257285366771	12	88	1
SPNCRNA.938	0	1	2	100	577	300	0	0	0.00173310225303293	0.382012789516964	0.120791776113059	17.3080587281839	0	0.69696854817235	99.8674988616213	0	100	1
SPRRNA.17	12	0	0	68	33	300	0.176470588235294	38.8978905090509	0	0	2.3194575682588	129.566235806128	NA	1.12561911400795	62.8777320823858	0	80	1
SPAC4H3.05	2	131	4	100	3262	300	0.02	4.40842759102576	0.0401594114040466	8.85199286364769	0.00261572472700713	0.06243670196389	0.498015267175572	0.0853249405949727	2.03668521806209	3	99	1
SPNCRNA.939	3	153	30	100	927	300	0.03	6.61264138653865	0.16504854368932	36.3802276929311	0.00500461379494218	0.0633556410686583	0.181764705882353	0.046392769879114	0.587306792706463	14	89	1
SPAC4H3.06	13	89	3	100	1989	300	0.13	28.6547793416675	0.044746103569633	9.86299787836332	0.0779251733724382	0.268424338076757	2.9052808988764	1.5499316983778	5.3389600843467	4	109	1
SPAC4H3.08	1	19	93	100	1438	300	0.01	2.20421379551288	0.0132127955493741	2.91238262272217	0.00262241420563744	0.368819983318377	0.756842105263158	0.0377103162770663	5.30363136011826	1	100	1
SPAC4H3.09	87	388	79	100	589	300	0.87	191.766600209621	0.65874363327674	145.201180417487	0.176463051615171	0.284616755087901	1.32069587628866	1.03936737401336	1.67639268746773	74	113	1
SPNCRNA.236	3	51	33	100	738	300	0.03	6.61264138653865	0.0691056910569106	15.2323717576093	0.014670351198998	0.195367709223204	0.434117647058823	0.108267191848605	1.44181369406724	6	97	1
SPNCRNA.941	3	63	24	100	836	300	0.03	6.61264138653865	0.0753588516746412	16.6107020475253	0.0119540699724486	0.156920667685371	0.398095238095238	0.0999360249696702	1.3118567818497	7	96	1
SPNCRNA.942	658	894	929	100	118	300	6.58	1450.37267744748	7.57627118644068	1669.97214676993	0.664672657824481	0.81500460308952	0.868501118568233	0.784313736232888	0.961705431645633	669	89	1
SPAC4H3.13	19	86	24	100	460	300	0.19	41.8800621147448	0.18695652173913	41.2092144378495	0.130120122933715	0.371179779654158	1.01627906976744	0.59855256549509	1.70742698640913	18	101	1
SPAC1071.02	8	374	13	100	3405	300	0.08	17.6337103641031	0.109838472834068	24.2107477098919	0.00986638947916505	0.0443590065943626	0.728342245989305	0.33595056176557	1.51042417453805	10	98	1
SPNCRNA.237	2	7	56	100	491	300	0.02	4.40842759102576	0.0142566191446029	3.14246365959067	0.0410868912536841	1.48812327873763	1.40285714285714	0.201736636055589	7.30668529860177	1	101	1
SPAC1071.05	21	568	68	100	1458	300	0.21	46.2884897057705	0.38957475994513	85.8706060254676	0.0232905608356325	0.0580867141490945	0.539049295774648	0.339576376983522	0.846904292293798	33	88	1
SPAC1071.06	100	445	16	100	1678	300	1	220.421379551288	0.265196662693683	58.4550142433392	0.179794669015455	0.280627239003574	3.77078651685393	3.01695454607933	4.70892507047997	41	159	5.24827187887228e-14
SPAC1071.08	42	448	372	100	320	300	0.42	92.576979411541	1.4	308.589931371803	0.0674141518952454	0.129917173982733	0.3	0.215725286064785	0.415734956744747	82	60	1
SPNCRNA.92	4	0	6	100	31	300	0.04	8.81685518205153	0	0	0.655007235805828	41.512102956422	NA	0.203052243099807	12.8687519164908	0	104	1
SPNCRNA.93	0	0	27	100	266	300	0	0	0	0	NA	NA	NA	NA	NA	0	100	1
SPAC1071.13	3	613	75	100	3378	300	0.03	6.61264138653865	0.181468324452339	39.9994984206453	0.00126020239137681	0.0156496792674615	0.16531810766721	0.0425696367807087	0.52864616565485	15	88	1
SPNCRNA.94	8	22	58	100	102	300	0.08	17.6337103641031	0.215686274509804	47.5418661777288	0.149100835899916	0.857796215069198	0.370909090909091	0.152082852617915	0.874952139370582	19	89	1
SPAC1071.11	26	438	8	100	2136	300	0.26	57.3095586833349	0.205056179775281	45.1987660315844	0.0391117373088609	0.0894296680687092	1.26794520547945	0.835426708917269	1.91021770994763	21	105	1
