WT_3MBPP1r2_pr_counts	WT_3MBPP1r2gb_counts	WT_3MBPP1r2term_counts	WT_3MBPP1r2pr_map	WT_3MBPP1r2gb_map	WT_3MBPP1r2term_map	WT_3MBPP1r2pr_density	WT_3MBPP1r2pr_densityRPKM	WT_3MBPP1r2gb_density	WT_3MBPP1r2gb_densityRPKM	WT_3MBPP1r2pause_index_CI_low	WT_3MBPP1r2pause_index_CI_high	WT_3MBPP1r2pause_index_scaled	WT_3MBPP1r2pause_index_CI_low_scaled	WT_3MBPP1r2pause_index_CI_high_scaled	WT_3MBPP1r2_ExpPR	WT_3MBPP1r2_ExpGB	WT_3MBPP1r2Fexact_Pval
SPAC3C7.10	63	237	61	100	1124	300	0.63	73.3148409254148	0.21085409252669	24.5376734159794	0.199340017980038	0.35388984993258	2.98784810126582	2.24058180209563	3.9777219132422	28	135	1.21663840553989e-05
SPAC3C7.12	14	566	159	100	1867	300	0.14	16.2921868723144	0.303160149973219	35.279584397161	0.0139790642119605	0.0429370146771501	0.461802120141343	0.260989128837302	0.801634064022393	26	88	1
SPNCRNA.793	4	129	15	100	2123	300	0.04	4.65491053494697	0.0607630711257654	7.07116649797644	0.00977241720803936	0.086861895364978	0.658294573643411	0.207468417326676	1.84407803859848	5	99	1
SPAC25A8.02	6	357	88	100	1575	300	0.06	6.98236580242046	0.226666666666667	26.3778263646995	0.00678231824892656	0.0388893386011322	0.264705882352941	0.106821512420593	0.612507082967832	19	87	1
SPAC631.02	8	6209	281	100	4835	300	0.08	9.30982106989395	1.2841778697001	149.443327360319	0.000598812601413788	0.00265060854216422	0.0622966661298116	0.0289525892783566	0.12815692301364	60	48	1
SPAC20H4.01	201	1132	415	100	2252	300	2.01	233.909254381085	0.502664298401421	58.4964334542626	0.152376760659519	0.206844988293263	3.9986925795053	3.43152465005237	4.65814913636427	100	201	1.30094631602501e-25
SPAC20H4.02	113	201	103	100	748	300	1.13	131.501222612252	0.268716577540107	31.2712906926585	0.443524594488091	0.712276535328907	4.20517412935323	3.31756396677092	5.32782848426022	45	168	1.12343781637947e-15
SPAC20H4.04	33	1069	20	100	3555	300	0.33	38.4030119133125	0.30070323488045	34.993666398441	0.0214733133660757	0.0441465519566076	1.09742750233863	0.763376290163992	1.5694099220574	30	103	1
SPAC20H4.07	2	419	29	100	1816	300	0.02	2.32745526747349	0.230726872246696	26.8503237079127	0.000823947765785721	0.0193358254010612	0.0866825775656325	0.0149628914266687	0.351138589283272	19	83	1
SPAC20H4.08	15	461	328	100	875	300	0.15	17.4559145060512	0.526857142857143	61.3118216174444	0.0187362934319093	0.055543703319627	0.28470715835141	0.163942567529207	0.486007404046736	39	76	1
SPAC20H4.09	159	588	104	100	2138	300	1.59	185.032693764142	0.275023386342376	32.0052314610479	0.226051005000622	0.323336901947885	5.78132653061224	4.8329704869133	6.91294296364578	55	204	4.10410236986323e-35
SPAC20H4.10	49	1228	232	100	3073	300	0.49	57.0226540531004	0.399609502115197	46.5036620315236	0.0296602920177074	0.0535269042113277	1.22619706840391	0.91146077370415	1.6448817664141	42	107	1
SPAC23C11.01	131	1629	61	100	2586	300	1.31	152.448320019513	0.629930394431555	73.3067407330686	0.0670224008554771	0.0964281647840807	2.07959484346225	1.73319928612264	2.49363234131633	89	142	0.000328859671191046
SPAC23C11.03	27	561	221	100	1872	300	0.27	31.4206461108921	0.299679487179487	34.8745300494825	0.0320434730904396	0.0717811381580374	0.90096256684492	0.59985381625303	1.34374290631846	29	98	1
SPAC23C11.05	431	1897	314	100	997	300	4.31	501.566610140536	1.90270812437312	221.423402326841	0.204348392920997	0.252584928387331	2.26519240906695	2.03735347742234	2.51827173602169	348	183	8.35005147856594e-10
SPNCRNA.798	71	1207	43	100	1635	300	0.71	82.6246619953088	0.73822629969419	85.9094344905351	0.0459469709114787	0.0751864710784859	0.961764705882353	0.751232974402677	1.22929880213325	72	99	1
SPAC23C11.08	37	415	97	100	507	300	0.37	43.0579224482595	0.818540433925049	95.2558122289445	0.0627283621044841	0.126180346038121	0.452024096385542	0.318032795869734	0.639734354413274	61	76	1
SPAC23C11.09	223	2180	267	100	2814	300	2.23	259.511262323294	0.774697938877043	90.1537399270114	0.08890288992247	0.117668042428709	2.87854128440367	2.50172732241831	3.31117871394387	140	183	2.63611856117218e-15
SPAC23C11.10	61	69	8	100	755	300	0.61	70.9873856579413	0.0913907284768212	10.6353916195808	0.617777057735988	1.26468749005537	6.67463768115942	4.66421678590671	9.54839054991801	13	148	2.0911450308408e-15
SPAC23C11.11	142	1370	334	100	1972	300	1.42	165.249323990618	0.6947261663286	80.8472037636581	0.0868580805179501	0.123618660305366	2.04397080291971	1.71284134781398	2.43775998122182	99	143	0.000442195766367448
SPAC23C11.12	30	97	34	100	211	300	0.3	34.9118290121023	0.459715639810427	53.4983793708361	0.200999415812888	0.473575480570168	0.652577319587629	0.424108767365193	0.999244264003055	40	90	1
SPNCRNA.187	15	51	101	100	406	300	0.15	17.4559145060512	0.125615763546798	14.618253527235	0.15847267801201	0.538255981967991	1.19411764705882	0.643399072728761	2.18531928679004	12	103	1
SPAC23C11.14	33	860	298	100	1410	300	0.33	38.4030119133125	0.609929078014184	70.979132270468	0.026656014458454	0.0549500928136597	0.541046511627907	0.375849803864202	0.774796308672602	50	83	1
SPAC23C11.15	40	846	78	100	3393	300	0.4	46.5491053494697	0.249336870026525	29.0160205759294	0.033961852841305	0.0655692181024679	1.60425531914894	1.15232566690548	2.22476357021673	27	113	1
SPAC23C11.16	49	700	77	100	2336	300	0.49	57.0226540531004	0.299657534246575	34.8719753260154	0.0518071326570862	0.0943148547859227	1.6352	1.21021461886953	2.20319500779915	34	115	1
SPAC23C11.17	36	1240	132	100	1611	300	0.36	41.8941948145228	0.769708255741775	89.5730767122012	0.0205306655495581	0.0408658012860541	0.467709677419355	0.330749022003381	0.658348058718331	59	77	1
SPNCRNA.801	0	47	35	100	2222	300	0	0	0.0211521152115212	2.46153009836305	0.00194303656715677	0.1038928146097	0	0.0431742725222234	2.30849834062754	2	98	1
SPAC13F5.05	24	322	159	100	1977	300	0.24	27.9294632096818	0.162873039959535	18.9539857391619	0.0480803012881343	0.114592148132305	1.47354037267081	0.950547556466414	2.26548676857568	17	107	1
SPNCRNA.802	1	21	13	100	904	300	0.01	1.16372763373674	0.0232300884955752	2.70334959164509	0.00238298221596271	0.331279590579523	0.43047619047619	0.0215421592323029	2.99476749883889	2	99	1
SPAC1783.01	26	1097	21	100	3347	300	0.26	30.2569184771553	0.327756199581715	38.1418946581777	0.0157290392962026	0.0354451790128479	0.793272561531449	0.526450945243902	1.18635014156002	31	95	1
SPAC1783.03	2	665	0	100	2822	300	0.02	2.32745526747349	0.235648476257973	27.423064366936	0.000519806244844467	0.012163506423976	0.0848721804511278	0.0146689322295109	0.343254151284604	19	83	1
SPAC1783.05	5	1257	87	100	4457	300	0.05	5.81863816868372	0.282028270136863	32.8204091453239	0.00146166280369736	0.00988725909327537	0.177287191726333	0.0651463111607915	0.440675137787283	23	82	1
SPNCRNA.804	50	87	43	100	510	300	0.5	58.1863816868372	0.170588235294118	19.851824340215	0.399914521458745	0.824654901924252	2.93103448275862	2.0395640594396	4.20573999981368	21	129	0.00283626689451145
SPAC18G6.03	269	1768	767	100	1281	300	2.69	313.042733475184	1.38017174082748	160.614399410348	0.133544609216369	0.173310390419803	1.94903280542986	1.71070644406168	2.22010610127767	213	156	8.12559545856637e-05
SPNCRNA.188	27	124	174	100	543	300	0.27	31.4206461108921	0.228360957642726	26.5749956875426	0.140372950543361	0.33565603670993	1.18233870967742	0.762225121450453	1.82261227933492	23	104	1
SPAC18G6.06	80	172	123	100	905	300	0.8	93.0982106989395	0.190055248618785	22.1172544754387	0.353613109716477	0.611222969787087	4.2093023255814	3.20019864293411	5.53156787657313	28	152	2.33318148597197e-12
SPAC18G6.10	14	489	33	100	2325	300	0.14	16.2921868723144	0.210322580645161	24.4758199095599	0.016162606901786	0.0497543508745619	0.665644171779141	0.375780610466524	1.15678865783357	19	95	1
SPAC18G6.13	3	19	47	100	155	300	0.03	3.49118290121023	0.12258064516129	14.2650484135472	0.0372348404284344	0.561573026386184	0.244736842105263	0.0577140026640734	0.870438190898585	11	92	1
SPAC18G6.15	128	365	98	100	1406	300	1.28	148.957137118303	0.259601706970128	30.2105680166367	0.285246412749447	0.4309109606177	4.9306301369863	4.01056456325722	6.05860810628486	46	182	8.42945684492418e-24
SPAC13D6.01	10	76	1	100	1431	300	0.1	11.6372763373674	0.053109713487072	6.18052412047467	0.0640516461392752	0.262390192074604	1.88289473684211	0.916579056253029	3.75480364858758	5	105	1
SPNCRNA.189	0	1	3	100	206	256	0	0	0.00485436893203883	0.564916327056671	0.120791776113059	17.3080587281839	0	0.248831058792901	35.6546009800589	0	100	1
SPAC13D6.05	23	195	181	100	830	300	0.23	26.7657355759451	0.234939759036145	27.3405889853813	0.0746471751144956	0.184778853696085	0.978974358974359	0.619571553450313	1.5336644856775	23	100	1
SPAC4G9.02	42	457	600	100	1161	300	0.42	48.8765606169432	0.393626184323859	45.8073668060027	0.0661052723012133	0.127321977339968	1.06700218818381	0.767482211417086	1.47820815691702	40	102	1
SPAC4G9.03	310	560	132	100	663	300	3.1	360.75556645839	0.844645550527903	98.2937367862106	0.480676876173133	0.637455738543727	3.67017857142857	3.18688768902787	4.22633154654491	187	223	6.52448123389323e-23
SPAC4G9.05	5	69	2	100	3049	300	0.05	5.81863816868372	0.0226303706133158	2.63355876444196	0.0257896975335765	0.18662161174064	2.20942028985507	0.786327877798749	5.69009294197212	2	103	1
SPAC4G9.07	0	19	2	100	2415	300	0	0	0.00786749482401656	0.915562113498887	0.00484054272324269	0.264551414760663	0	0.116899106766311	6.38891666647002	0	100	1
SPAC4G9.10	51	531	51	100	1396	300	0.51	59.3501093205739	0.380372492836676	44.2649981027372	0.0712651358509964	0.129103531765473	1.34079096045198	0.99486129647991	1.80228530344601	41	110	1
SPAC4G9.12	29	267	136	100	1039	300	0.29	33.7481013783656	0.256977863330125	29.9052240815891	0.0725809716691256	0.161551332240863	1.12850187265918	0.754116295642215	1.67851834198257	26	103	1
SPAC4G9.14	24	225	26	100	1238	300	0.24	27.9294632096818	0.181744749596123	21.1501387391573	0.0683548697602353	0.165109394602646	1.32053333333333	0.846233287631713	2.04405430518076	19	105	1
SPAC4G9.15	14	263	42	100	1135	300	0.14	16.2921868723144	0.231718061674009	26.9656711605959	0.029846271891788	0.0931691297169712	0.604182509505703	0.338755185971794	1.05746962228762	21	93	1
SPNCRNA.809	7	31	12	100	475	300	0.07	8.1460934361572	0.0652631578947368	7.59485403070296	0.0907828790888719	0.535887537225797	1.07258064516129	0.431218675672142	2.54546580182254	6	101	1
SPAC4G9.19	29	423	96	100	1145	300	0.29	33.7481013783656	0.36943231441048	42.9918593074797	0.046157346297929	0.101196777365717	0.784988179669031	0.528501615111287	1.15870310083746	34	95	1
SPAC4G9.22	115	824	154	100	906	300	1.15	133.828677879725	0.909492273730684	105.840129161046	0.114250295077695	0.170357156270755	1.26444174757282	1.03510767340392	1.54343583581304	102	113	1
SPNCRNA.811	4	2	56	100	919	300	0.04	4.65491053494697	0.00217627856365615	0.253259550323557	0.317658834507675	15.6695269662331	18.38	2.91928468912553	144.002952819682	0	104	1
SPAC13G7.03	9	221	48	100	970	300	0.09	10.4735487036307	0.227835051546392	26.5137945418371	0.0195914377992264	0.0815891122462702	0.395022624434389	0.190036946652496	0.791414388788821	20	89	1
SPNCRNA.190	2	62	76	100	491	300	0.02	2.32745526747349	0.126272912423625	14.6947277579792	0.00546087585799975	0.133967989656686	0.158387096774194	0.0268129004627788	0.657782829214329	11	91	1
SPAC13G7.05	21	497	87	100	2011	300	0.21	24.4382803084716	0.247140726006962	28.7604492276062	0.0265860496985964	0.0664660624694756	0.849718309859155	0.534645459438773	1.33663251626115	23	98	1
SPAC13G7.06	76	340	74	100	1085	300	0.76	88.4433001639925	0.313364055299539	36.4670410571883	0.172913399166078	0.288586046613381	2.42529411764706	1.87611038095194	3.13115860575518	41	135	0.000691682849876283
SPAC13G7.07	40	120	11	100	1128	300	0.4	46.5491053494697	0.106382978723404	12.3800812099654	0.229284470212937	0.483111700442559	3.76	2.58632882400193	5.44949998099206	13	127	2.398565404757e-05
SPAC13G7.10	46	283	269	100	1343	300	0.46	53.5314711518902	0.21072226358898	24.5223321182054	0.117507882359539	0.224186079100179	2.18296819787986	1.5781308600886	3.01081904231541	25	121	0.379085956650452
SPAC13G7.11	28	962	164	100	1069	300	0.28	32.5843737446288	0.899906454630496	104.724600903157	0.019601153429238	0.0429303840951289	0.311143451143451	0.209536330158554	0.458925805976927	60	68	1
SPNCRNA.812	86	376	2	100	2508	300	0.86	100.08057650136	0.149920255183413	17.4466343813802	0.179663693635806	0.290866580460364	5.7363829787234	4.505965436386	7.29493383794592	24	162	3.91569451504382e-22
SPNCRNA.813	1	105	48	100	1175	300	0.01	1.16372763373674	0.0893617021276596	10.3992682163709	0.000492893847620123	0.0627106100080988	0.111904761904762	0.00579150270953644	0.736849667595161	8	93	1
SPAC6C3.04	222	1410	193	100	2262	300	2.22	258.347534689557	0.623342175066313	72.5400514398235	0.13631121003532	0.181809955202853	3.56144680851064	3.08335957099893	4.11254118668854	123	199	1.5404228178207e-22
SPAC6C3.05	8	319	50	100	986	300	0.08	9.30982106989395	0.323529411764706	37.6500116797182	0.0115515639864202	0.0520834204032844	0.247272727272727	0.113898420906104	0.513542525176384	26	82	1
SPAC6C3.07	4	12	2	100	1534	300	0.04	4.65491053494697	0.00782268578878748	0.910347562245171	0.0909024582098313	1.10933161535556	5.11333333333333	1.39444370893881	17.0171469795542	0	104	1
SPAC6C3.08	6	31	22	100	993	300	0.06	6.98236580242046	0.0312185297079557	3.63298657057795	0.0726147583952093	0.485465265187823	1.92193548387097	0.721064550864428	4.82067008331509	3	103	1
SPAC6C3.09	3	495	63	100	1337	300	0.03	3.49118290121023	0.370231862378459	43.0849049139632	0.00155951596650182	0.0193963030796033	0.081030303030303	0.0208507284721293	0.259328572174297	27	76	1
SPAC17G8.02	12	462	102	100	1771	300	0.12	13.9647316048409	0.260869565217391	30.3581121844368	0.0139627454429743	0.0471664413828413	0.46	0.247280221795074	0.835317676890119	23	89	1
SPAC17G8.15	29	45	107	100	259	300	0.29	33.7481013783656	0.173745173745174	20.219205991565	0.393828961858445	1.05142278812373	1.66911111111111	1.02001701121337	2.72318502124047	19	110	1
SPAC17G8.05	481	533	22	100	1167	300	4.81	559.752991827374	0.456726649528706	53.1505423120552	0.796265403103267	1.02275681587924	10.5314634146341	9.29241725421513	11.9355720413108	182	399	1.18679759171491e-103
SPAC17G8.07	43	125	33	100	899	300	0.43	50.04028825068	0.139043381535039	16.1808625380526	0.239568240444929	0.492611674683457	3.09256	2.15371848159991	4.42857895540428	17	126	0.00105500428887778
SPAC17G8.09	22	264	57	100	1057	300	0.22	25.6020079422084	0.249763481551561	29.0656665379849	0.0525565528484052	0.130900491996415	0.880833333333333	0.555522763607643	1.3836182004021	24	98	1
SPNCRNA.59	14	43	123	100	201	300	0.14	16.2921868723144	0.213930348258706	24.8956657963582	0.170063053815658	0.613999153163828	0.654418604651163	0.341826738169472	1.23413829785929	20	94	1
SPAC17G8.12	20	971	65	100	3573	300	0.2	23.2745526747349	0.271760425412818	31.625511680895	0.0128677316116782	0.0326023994999406	0.735942327497425	0.459764050485262	1.16488373413288	25	95	1
SPNCRNA.818	6	3	15	100	919	300	0.06	6.98236580242046	0.00326441784548422	0.379889325485335	0.447546912223926	10.0597133642664	18.38	4.11295612333788	92.4487658176079	0	106	0.449684981215178
SPNCRNA.192	0	60	19	100	451	300	0	0	0.133037694013304	15.4819640851895	0.00152047587690972	0.0810402206892091	0	0.00685734620486284	0.365491395308333	11	89	1
SPAC22H10.02	52	658	197	100	997	300	0.52	60.5138369543107	0.659979939819458	76.8036893679816	0.058951863377585	0.105667693814797	0.78790273556231	0.587750077874522	1.05350690733353	60	92	1
SPNCRNA.820	1	11	8	100	471	300	0.01	1.16372763373674	0.0233545647558386	2.71783523802636	0.00438460787950623	0.673532041142035	0.428181818181818	0.0206515031124744	3.17233591377898	2	99	1
SPAC22H10.04	2	475	67	100	1655	300	0.02	2.32745526747349	0.287009063444109	33.4000378262811	0.000727101631457689	0.0170475211086168	0.0696842105263158	0.0120335320006248	0.282136474347608	22	80	1
SPAC22H10.13	12	31	16	100	335	300	0.12	13.9647316048409	0.0925373134328358	10.7688228793549	0.188115649521722	0.782620859583069	1.29677419354839	0.63018742589777	2.62177987960328	9	103	1
SPAC22H10.07	85	1523	207	100	2450	300	0.85	98.9168488676232	0.621632653061225	72.3411096400433	0.0445729725173664	0.0697955400623627	1.36736703873933	1.09203782667548	1.70999073152789	70	115	1
SPAC22H10.08	14	753	170	100	1766	300	0.14	16.2921868723144	0.42638731596829	49.6198702267139	0.0105256620447382	0.0322163500935916	0.328339973439575	0.185883191710077	0.568940742652827	34	80	1
SPAC22H10.09	279	1444	89	100	2171	300	2.79	324.680009812551	0.665131275909719	77.4031645838718	0.169605352554656	0.220065925776275	4.19466066481994	3.68213220396157	4.77763124860292	151	228	8.5729215836082e-33
SPAC22H10.10	39	284	37	100	1992	300	0.39	45.385377715733	0.142570281124498	16.5912975894194	0.0968029129358804	0.194065474729949	2.73549295774648	1.92831402568274	3.86578425662058	17	122	0.0118726027879939
SPAC15F9.02	3	591	187	100	1619	300	0.03	3.49118290121023	0.365040148239654	42.4807307929843	0.00130696974038065	0.0162343305229758	0.0821827411167513	0.0211598400967627	0.262833811166978	27	76	1
SPNCRNA.823	1	27	20	100	296	300	0.01	1.16372763373674	0.0912162162162162	10.6150831455716	0.00187061064467936	0.253746874604382	0.10962962962963	0.0055370075082509	0.751090748828972	8	93	1
SPAC1B9.03c	55	803	155	100	1239	300	0.55	64.0050198555209	0.648103309120258	75.4215730339471	0.0515980955534937	0.090704617358537	0.848630136986301	0.639300403907787	1.12383020907227	60	95	1
SPAC6B12.18	121	420	458	100	358	300	1.21	140.811043682146	1.1731843575419	136.52670563392	0.234108339986467	0.354316538459036	1.03138095238095	0.838107857151552	1.26845320768335	119	102	1
SPNCRNA.824	41	77	2	100	1102	300	0.41	47.7128329832065	0.0698729582577133	8.13130923754349	0.358169365083325	0.789822561347027	5.86779220779221	3.94702640321824	8.70384462604423	9	132	5.10988999319631e-10
SPNCRNA.194	3	64	14	100	580	300	0.03	3.49118290121023	0.110344827586207	12.8411325101985	0.0117724287195558	0.154388336239339	0.271875	0.0682800865734238	0.895452350188165	10	93	1
SPAC6B12.08	11	150	66	100	1816	300	0.11	12.8010039711042	0.0825991189427313	9.61228772359645	0.0376880377626271	0.138925896664972	1.33173333333333	0.684414765769308	2.52289428343589	8	103	1
SPAC6B12.09	18	108	33	100	986	300	0.18	20.9470974072614	0.109533468559838	12.7467124182118	0.0978589729365952	0.280479612117294	1.64333333333333	0.964889473154829	2.76552897547651	11	107	1
SPAC6B12.11	18	334	48	100	1850	260	0.18	20.9470974072614	0.180540540540541	21.0100016036796	0.032498969689745	0.0882223915755556	0.997005988023952	0.601230939260282	1.63211424414778	18	100	1
SPAC6B12.12	69	1000	146	100	2044	300	0.69	80.2972067278353	0.489236790606654	56.933837266964	0.0536325884011677	0.0886211110999584	1.41036	1.09625010691987	1.81141551088315	55	114	1
SPAC6B12.13	17	187	27	100	942	300	0.17	19.7833697735246	0.198513800424628	23.1015995232241	0.0534747829279609	0.152438345939414	0.856363636363636	0.503732455181392	1.43596921874928	19	98	1
SPNCRNA.195	0	6	849	100	369	300	0	0	0.016260162601626	1.89224005485649	0.0157393406208896	0.93492067967121	0	0.0580781668910825	3.44985730798677	1	99	1
SPAC6B12.15	490	6544	1120	100	1317	300	4.9	570.226540531004	4.96886864085042	578.240974576556	0.0682345552025923	0.0821605180872726	0.986139975550122	0.89864909201814	1.08205402320938	491	99	1
SPSNORNA.11	445	92	2153	100	21	300	4.45	517.858797012851	4.38095238095238	509.823534779907	3.84286087202326	6.09424143081809	1.01576086956522	0.807000783124884	1.2797907004718	443	102	1
SPAC6B12.16	0	57	5	100	1040	300	0	0	0.0548076923076923	6.37812260798023	0.00160081492032805	0.0853739079446319	0	0.0166484751714117	0.887888642624171	5	95	1
SPAC32A11.01	75	2725	168	100	2207	300	0.75	87.2795725302557	1.23470774807431	143.686352602294	0.0217256661195353	0.0348141169962531	0.60743119266055	0.479485451258144	0.768347562107307	96	79	1
SPNCRNA.828	3	21	21	100	1174	300	0.03	3.49118290121023	0.0178875638841567	2.08162523922245	0.0339686860725813	0.502880009415215	1.67714285714286	0.398792374492104	5.90381131053463	1	102	1
SPNCRNA.829	0	130	22	100	2501	300	0	0	0.0519792083166733	6.04896410978715	0.000700353783233648	0.0370984825260718	0	0.0175158481186735	0.927833047977056	4	96	1
SPAC19A8.11c	13	473	3	100	4891	300	0.13	15.1284592385777	0.0967082396237988	11.2542050860249	0.0151626020631261	0.0487653161912267	1.34424947145877	0.741602866907496	2.3851116149129	9	104	1
SPAC19A8.07c	33	499	109	100	951	300	0.33	38.4030119133125	0.524710830704522	61.0620493411814	0.0457144356445138	0.0951791537529152	0.628917835671343	0.434744282979326	0.905153752190223	45	88	1
SPAC19A8.05c	30	1278	253	100	1973	300	0.3	34.9118290121023	0.647744551444501	75.3798234118377	0.0160498737051099	0.0341248098785236	0.463145539906103	0.316664008201819	0.673282498903271	51	79	1
SPAC19A8.01c	19	2339	123	100	4077	300	0.19	22.1108250409981	0.573706156487613	66.7637707949532	0.00502412480349163	0.0129745161172675	0.331179991449337	0.204833568238354	0.528971022100995	43	76	1
SPNCRNA.558	1	2	5	100	221	300	0.01	1.16372763373674	0.00904977375565611	1.05314717985226	0.0179700152612445	6.97865092307548	1.105	0.0397137337273504	15.4228185399968	0	101	1
SPAC23H3.04	22	167	55	100	1038	300	0.22	25.6020079422084	0.160886319845857	18.7227856294832	0.0822289436833189	0.209144769607366	1.3674251497006	0.85353643543285	2.17092270852446	16	106	1
SPAC23H3.06	59	1579	37	100	3025	300	0.59	68.6599303904679	0.52198347107438	60.744658964308	0.0285511505759752	0.0487946115809157	1.130303989867	0.863672304923249	1.4760370003227	54	105	1
SPAC23H3.10	21	580	142	100	1558	300	0.21	24.4382803084716	0.372272143774069	43.3223380980302	0.022812633907035	0.0568748315616926	0.564103448275862	0.355420836271605	0.88610987573117	32	89	1
SPNCRNA.197	12	152	25	100	2368	300	0.12	13.9647316048409	0.0641891891891892	7.46987332466153	0.0417711851465374	0.145760748084735	1.86947368421053	0.989141664270005	3.45161451464653	6	106	1
SPNCRNA.831	5	151	75	100	2001	300	0.05	5.81863816868372	0.0754622688655672	8.78175275833325	0.0120013549907256	0.083565315374225	0.662582781456954	0.24014711336442	1.67214196063824	7	98	1
SPAC23H3.14	9	401	84	100	1772	300	0.09	10.4735487036307	0.226297968397291	26.3349199282412	0.0108666799948667	0.0446617276844111	0.397705735660848	0.192557569509038	0.791405814567765	20	89	1
SPNCRNA.832	45	99	12	100	1373	300	0.45	52.3677435181535	0.0721048798252003	8.39104411798526	0.314644486804709	0.655206895398452	6.24090909090909	4.32006880382865	8.99599067382074	9	136	3.01870305452372e-12
SPAC25H1.02	23	199	19	100	1546	300	0.23	26.7657355759451	0.128719275549806	14.9794177951884	0.0731827805058488	0.180973012930583	1.78683417085427	1.13140578662042	2.79784277990681	14	109	1
SPAC25H1.03	24	47	28	100	483	300	0.24	27.9294632096818	0.0973084886128364	11.3240577195915	0.303268389238164	0.855352627124171	2.4663829787234	1.46478632002033	4.13135318900975	10	114	1
SPAC25H1.04	29	79	59	100	624	300	0.29	33.7481013783656	0.126602564102564	14.7330902348081	0.234437753371112	0.572044100696417	2.29063291139241	1.46289158103574	3.56955518834564	14	115	1
SPAC25H1.05	39	577	326	100	882	300	0.39	45.385377715733	0.654195011337869	76.13048125466	0.0481778124936998	0.0944490233629626	0.596152512998267	0.424928306194432	0.83304038606133	54	85	1
SPAC25H1.06	86	443	200	100	1402	300	0.86	100.08057650136	0.315977175463623	36.7711370717102	0.153023318397281	0.246008920752809	2.72171557562077	2.14538692392987	3.44904506895438	44	142	2.22694331119815e-06
SPAC25H1.07	109	1255	36	100	2670	300	1.09	126.846312077305	0.470037453183521	54.6995573160904	0.071051478263942	0.106078901169953	2.31896414342629	1.89707446964725	2.83230666123774	66	143	2.30124523472296e-05
SPAC25H1.09	0	27	3	100	1779	300	0	0	0.015177065767285	1.76619708324295	0.00339432100419189	0.183491530730493	0	0.0603849706645738	3.26431433169547	1	99	1
SPNCRNA.834	5	207	402	100	1615	300	0.05	5.81863816868372	0.128173374613003	14.9158897946443	0.00879150435296492	0.0606753735852529	0.390096618357488	0.141982795300383	0.979907283401834	11	94	1
SPAC4A8.04	302	1963	496	100	1940	300	3.02	351.445745388497	1.01185567010309	117.752440465218	0.136030880070543	0.173964664260648	2.98461538461538	2.63899907336854	3.37491448665658	202	200	1.33398926148447e-18
SPNCRNA.836	60	145	4	100	4631	300	0.6	69.8236580242046	0.0313107320233211	3.64371640880647	0.302803631723103	0.564610816429559	19.1627586206897	14.0228361850969	26.1471269088529	4	156	2.41421505937384e-40
SPNCRNA.837	5	124	2	100	1698	300	0.05	5.81863816868372	0.0730270906949352	8.49836434530955	0.0145654028836972	0.10214171965737	0.684677419354839	0.247320540965179	1.73436639978215	7	98	1
SPNCRNA.838	91	1098	11	100	2344	300	0.91	105.899214670044	0.468430034129693	54.5124975188969	0.0665176149598234	0.103148555774924	1.94265938069217	1.55917289465826	2.41780214736421	60	131	0.0508857851677666
SPAC4A8.10	21	1248	60	100	2988	300	0.21	24.4382803084716	0.417670682730924	48.6054915295668	0.0106488327498104	0.026313200754713	0.502788461538461	0.318187122564334	0.786238438550826	35	86	1
SPAC4A8.14	23	780	49	100	1462	300	0.23	26.7657355759451	0.533515731874145	62.0867000215226	0.0190151126967733	0.045314899548291	0.431102564102564	0.278000947626826	0.662503831396015	42	81	1
SPAC823.02	78	105	503	100	187	300	0.78	90.770755431466	0.561497326203209	65.3429954771968	0.548474443421842	1.00563107596567	1.38914285714286	1.02564720919884	1.88053011205581	64	114	1
SPAC823.03	67	676	80	100	2145	300	0.67	77.9697514603618	0.315151515151515	36.6750526995822	0.0764627395402968	0.12824933656165	2.12596153846154	1.64012576313937	2.7509482692474	40	127	0.0366768767653659
SPAC823.04	80	143	27	100	709	300	0.8	93.0982106989395	0.201692524682652	23.4715164491332	0.421576789228615	0.741814516615268	3.96643356643357	2.98897943563088	5.25946492280225	30	150	1.00364229657318e-10
SPAC823.06	40	128	73	100	364	300	0.4	46.5491053494697	0.351648351648352	40.9222904171163	0.215597484108152	0.451533839422512	1.1375	0.784774842153673	1.64358317549794	36	104	1
SPAC823.07	76	581	82	100	1013	300	0.76	88.4433001639925	0.573543928923988	66.7448919250788	0.102215611899236	0.16716665681955	1.32509466437177	1.03544414853926	1.69339823358204	64	112	1
SPNCRNA.199	1	1	18	100	342	300	0.01	1.16372763373674	0.00292397660818713	0.34027123793472	0.027408528703162	36.4849938072245	3.42	0.093737168164814	124.778678820708	0	101	1
SPAC823.11	44	575	90	100	1838	300	0.44	51.2040158844167	0.312840043525571	36.4060603590113	0.0556058547384165	0.104957189787705	1.40646956521739	1.02203561009209	1.92911314829802	34	110	1
SPAC823.12	35	1234	33	100	2895	300	0.35	40.730467180786	0.426252158894646	49.6041416245645	0.0199567881466012	0.0401170543729369	0.82111021069692	0.577749016844103	1.16138872409652	40	95	1
SPAC823.14	6	264	48	100	1457	300	0.06	6.98236580242046	0.181194234728895	21.0860738027797	0.00914812417500678	0.0527351564914733	0.331136363636364	0.133288169229849	0.768351230080766	16	90	1
